rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
650240,74493.1,84417.3,94565.1,105507,430307,174711,105153,254370,73064.5,66857.1,74540.1,137056,423916,1.86364e+006,436933,5857.45,175631,75654,37733,607676,233581,80248.8,62060.1,96905.6,104412,347553,138483,42835.9,166372,49397.7,184994,134904,25577.6,350083,42805.3,42672.5,10736.3,129611,97399,24577.5,12250.4,112721,6534.35,149600,56607.4,23789.6,35693.7,112457,12604.9,50961.8,42154.5,48411.7,75899.5,29535.3,6454.88,17996.8,10861.1,90532.4,7412.97,24816.2,57730.9,8908.37,13894.3,70505.2,44008.2,31175.2,47967.2,20769.5,22386.6,42150.2,153661,76179.6,308301
168077,139027,121769,156593,183028,1.0235e+006,115402,91135.4,350490,135336,140526,70329.8,318885,197895,868188,93871.1,12056.4,164552,35866.1,136923,575719,217757,41363.1,49681.3,131852,98407.4,400109,191336,84322.2,79002.1,47891,159093,43377.5,30776.7,294634,55081.9,10473.3,13669.7,74284.7,45656.6,18894.1,25780.6,113928,19368.7,116507,60308.7,16164.6,39219.9,73515.5,15133.8,32813.6,45964.8,63783.4,87835.6,36745.6,9587.98,20370.5,15624.8,69558.9,7331.59,30131.8,51358,21792.6,32615.2,48825.8,99457.1,26857.6,51405.1,30703.6,12899.9,76155,54302,128504,514096
259978,129228,216823,205236,119390,682063,212317,95810.4,419151,217445,38918.2,154559,463227,553425,941807,139993,20077.5,57180.1,37086.7,118189,895722,331114,79123.4,35877,20749.8,42061.1,353428,211677,22071.5,110128,40539.3,115940,40372.5,70587.8,144063,117080,15078.5,17317.7,78524.2,19097.4,19690.9,14926.1,168066,39229.6,52298.4,172367,37688.6,50147.1,25253.1,29312.3,33796.7,30932.2,118424,112186,45508.1,15924.3,25328.6,15160.9,119592,7010.79,46705.4,18581.5,31876.6,67593.5,57444.1,65981,24884.5,93131.5,55612,9448.17,117423,82267.3,69875.8,307458
185071,172084,173256,123863,114848,723205,292372,91582.8,194752,238297,37122.7,162328,1.11399e+006,384887,505460,432898,50122.8,17681.6,31224.1,72955.7,195813,338945,66190.9,95628.2,22876.4,40898.7,313732,111789,28679.2,64626.1,39403.7,69587.8,93531.9,151911,194050,122729,12407.2,5911.24,54063.3,25867.8,11782.9,10549.8,90729.8,29638.8,61707.9,300157,43070,30798.7,41911.8,24468.7,27253.5,46727.1,59597.2,68328.5,28062.2,20215.6,23671.8,23494.6,58483.9,15697.8,44076.3,10885.8,80772.9,78888.2,24618.7,20597.2,20947.2,70837.1,88326.7,9849.37,114686,50767.8,68534.1,528615
369145,99802.5,202931,141343,58568.9,836669,348051,390792,353933,125811,19258,99621.4,835850,215071,342172,560778,223665,42914.2,45926.6,54078.9,372066,687542,58034.6,105455,58117.6,26009.5,242320,104526,89928.9,227010,39371.4,134608,119030,31761.8,145838,167208,18440.4,7875.28,134047,13595.2,12684.3,39191.8,65381.7,16420.1,102906,245168,25141.3,72696.5,48634.5,32199.9,56662.6,41998.4,39935.4,68590.2,40053.6,15869.5,29596.2,38800.7,48582.7,5790.69,60042.2,17594.3,85635.5,33699.4,45784.7,16782.6,32923.1,53826.7,134225,25610.2,34645.1,111926,30589.8,272455
549991,120107,96156.4,70878.4,139788,648301,178890,685367,786576,293820,59206.5,155326,807674,166953,454173,566826,68068.8,19724.6,98978.7,35211,271779,349256,221949,50190.1,39198.9,39189.4,114558,324560,125461,83213.8,94925.1,90871.4,284196,27722.4,45578.6,129534,29248.3,8397.93,146598,14846.8,22242.9,133277,57644.4,13436.1,103040,101989,19894.5,89710.7,70287.9,34595.5,40390.2,66478.3,34514.2,37178.8,24854,9238.03,19066,65841.9,37211.4,8047.36,19212.9,26382.1,100154,45343.7,34978.1,17438.4,54304.7,158058,96019.6,17196.5,36362.1,140746,16037.3,60765.6
144407,214871,57511,47684.2,87565.8,1.37393e+006,81625.1,335351,1.14752e+006,132308,151855,122066,542025,226480,575244,165313,150256,16572,52035.3,175292,148620,172959,212609,31895.6,93095.7,141031,99596.9,159904,53753.2,226317,80380,40738.8,164544,18353,48738.2,250928,19839.8,13222.9,66722.3,27204.5,34040.9,152322,44521.7,25540.2,128875,40441.2,57661.2,34043.7,96840.8,34126.4,37334.9,93585.7,39950.5,19615.2,26617.4,12525.6,58902.5,32003.7,19922,19735.7,6908.21,24554.8,106409,75100.8,16057.7,27485.9,97344.4,183387,139700,72907.8,93562.5,95864.7,36315.5,181286
50655.7,206826,78678.1,67459,102270,1.08466e+006,125818,128441,232513,80348.5,142410,255970,366209,379815,524459,89493.5,79778.9,20443.1,59305.5,227861,183177,187342,240739,29623.4,34893.9,100218,228065,166879,39364.3,88408.8,58385.4,85512.4,169175,36089.8,10087.1,287941,35354.7,12850.3,72524.1,36237.5,66976.5,135859,20822.2,17367.9,111045,23833.4,39521.3,62093.7,67946.3,15063.3,39870.3,119528,51621.3,9560.52,24645.3,6002.86,66950.1,24732,16218.9,32653.5,6339.41,19598.5,37206.6,41015.9,5644.42,16030.4,255092,144411,30053.5,128916,20852.7,196784,34411.4,221868
210892,69897.5,226605,75283.4,185890,1.2705e+006,285059,65112.5,662235,135600,85397.9,111241,557094,207788,955563,40097.8,92986.2,41729.9,62191.1,135484,264274,184906,151320,31597.8,23687,399842,229063,323655,49779.8,79220.9,43282.3,108907,170776,34644.1,15811.8,183586,21734.9,23152.1,44419.6,53968.5,96922.2,67552.2,23139.9,17974.5,59840.4,76796.9,77675.1,63466,39453.3,18683,29848.8,87386.1,51302.6,18835,5350.46,6880.65,45135,13989.4,15489.4,12817.5,5658.55,12143.8,5988.13,67493.7,2775.07,13628.4,59918.1,61943.1,15582.6,158467,20692.9,84081.5,13143,74460.1
190844,127354,168587,88795.5,69269.6,500348,282572,59508.2,622289,168108,111818,154888,515012,204269,1.10256e+006,117871,82701.4,38429.4,28125.3,32416.5,371849,304040,255461,19042.1,23366.9,136814,113711,167845,71164.8,44380.4,30690.9,78757.8,192888,59184.9,32207.1,270337,24053,20016.6,41413,131425,142176,39724.2,54915.8,16907.5,56326.1,49847.8,44196.1,85637.9,34569.5,26872.2,18631.2,60147.9,80935,40549.8,11599.2,3132.8,75817.3,13875.7,25369.9,13860.5,13833.4,36942.2,11788.1,121780,4034.93,15961.4,68064.8,57346.6,50045.5,159952,35226.8,83403.8,43147.8,107990
296774,120517,116739,299092,29396.8,359521,169001,106907,820033,45345.6,154678,89437.8,271081,138272,958937,71374,58146.3,128351,23858.8,34580.1,374737,254472,161993,25517.4,65732.3,156140,115583,146624,28553.4,49203.7,33241.3,145963,134231,76612,29634.2,244385,21870.6,40468.6,47544.9,99219.1,94167.1,49909,66324.2,29685.5,83142.7,5838.97,96327.7,66309.9,59645.7,39814.3,24968.8,38454.7,37815.7,31213.4,8082.04,20078.7,98397.9,14306.2,40962.9,13722,4483.93,25266.2,8023.06,37840.4,11991.4,18840.6,61703.6,26813.9,18407.2,126917,44855.4,49799.7,60161.6,73766.4
225464,43222.1,174073,73507,62991.2,343367,500559,43928.7,675981,121581,242606,84908.7,174925,93769.2,847050,70579.2,35503.5,95773.9,21392.7,53442.4,555488,49968.2,155594,75474.3,29210.7,180956,110875,242888,67434,40312.9,47408.6,81847.2,126091,115315,46624.8,242690,11711.9,103374,45533.5,21977,81875.4,94951.8,78448.8,40658.1,48203.6,14549.2,143047,91632.5,84476.3,67286.7,17897.3,33540,38872.4,69574.8,17055.5,37052.4,81928.5,22394.9,85432.4,12291.1,6698.26,31966,10834.8,80419.9,28326,32360.6,90103.3,34116.9,96391.6,82114.7,142107,112380,69866.4,53783.6
450282,34893.9,96327,96904.9,49510.1,465729,661446,34232.6,528097,37556.5,132733,136030,310050,90606.8,703193,69040.2,67351.9,54694.4,14689.7,38972.3,472346,53724.7,245672,71576,24077.2,240254,57042.2,97654.7,52973.8,97201,109337,76841.8,96333.5,162908,18187.2,266013,15035.7,123532,39764,36690,101106,129809,45997.2,35874.6,36333.3,14388.3,93296.2,95580.2,53345.7,47114,18188.8,70109.7,36018.7,56710.2,34912,21092.7,45032.8,20326.8,119642,16722.8,6959.24,29427.7,8298.68,95959.4,19601.2,52199.2,54514.3,44462.8,67035.6,54490.9,153260,247338,76505.4,103212
628281,42219,85557.2,65171.6,36394.9,443707,649704,66954.6,562092,25907.1,204115,194259,110174,121463,1.26695e+006,79523.1,56566,69084.1,24312.8,15724.8,649792,55369.2,387917,67395.7,13324.9,234037,56285.1,60873.8,38547.9,67788.5,193832,49475,95128.2,89181.3,24391.9,341890,24783.7,96599.5,23703.7,24088.9,107838,157312,64386.3,50148,98208.9,12571.9,102860,116391,21685.8,34063.7,25163.1,70342.9,54307.6,37869.4,45738,38016.6,35246.1,21506.9,79032.9,9478.62,11643.4,29866.1,15016.1,106862,51747.9,51415.7,19979.2,31931.8,93252.9,80040.1,41856,294199,106737,157418
270615,47350.4,454902,117743,125566,591763,521719,109765,1.03155e+006,16745,315135,251125,70547.4,151448,1.28526e+006,27783.8,69054.6,35978.5,68117.8,16570.8,724527,99346.8,135293,89569.5,16245.7,279210,77867.8,28334,106509,65259.5,189957,99176.1,88666.6,202335,14057.3,208965,20421.5,46829.6,23967.8,35541.4,141749,57632.9,42079.7,45462.3,136309,14310.9,81938,125653,17454.8,15828.6,42481.9,68751.7,67052.9,36367.9,34439.4,26267,69408,14857.7,61940.1,14274.5,5610.55,47458.8,9446.73,139358,73806.6,39030.7,28449.7,25568.6,106192,87095.5,98207,257560,254619,112695
74740.4,42991,390636,280882,359527,713274,259046,81637.4,1.1281e+006,38406,106423,186238,48793.4,376921,767575,40992.7,188082,41029.5,34090.8,10186.6,401020,133836,85297.9,121811,22098.9,239540,184544,22385.9,190975,64608.3,377533,51456.9,131593,244980,11999,249519,22469.3,27446,40817.8,68681.2,121108,33838.6,21750.3,68627.3,111022,15278.5,134383,140198,15801.6,9618.11,55464.5,72065.7,50915.3,48566.9,23599.8,9392.66,126745,14561.8,34479.7,22952.5,5463.38,19482.1,28723.4,115980,79487.8,50918.5,19401.1,16579.5,94641.7,212344,56671.6,214582,191750,101004
39048.2,60546.2,148751,238626,598075,301403,803113,56512.8,861465,84557.9,85131.4,286539,56091.7,508955,691899,65727.5,353627,58326.3,30765.2,22131.9,521799,40735.1,199891,224548,14875.9,75755.6,130790,57975.4,238131,80625.2,76358.2,75987.4,121799,308936,15974.6,96141.9,41927.3,23395.1,45190.2,82882.4,96814.9,109037,15651.9,62061.5,123129,14161.7,142092,134911,5427.83,30341.7,64321.5,82689,77768.9,17600.8,37417.5,29362.9,94242.9,37944.1,29706,32327.2,5631.09,17221.5,50739.1,34767.1,127453,44735.1,15196.9,24210.5,138135,219004,48646.7,330393,201002,111750
43987.4,97743.1,162861,295802,348146,807983,262971,209744,1.00044e+006,33994.6,201030,197042,108575,304691,1.64495e+006,58712,195941,73471.3,69116.1,7362.68,123876,37609.6,396696,213841,20854.1,103323,171840,86918,196155,76922.5,29424.3,56881.2,138157,257176,11999.5,109324,43673.7,36992,71654.5,89059.1,105711,51284.7,49305.2,14765,113606,35667,97404.9,174709,25951.5,47978,42961,64337.4,40846.6,5434.46,70077.3,20790.7,72063.8,21604.8,24882.4,31371.6,3878.17,27542.2,20372.6,50884.8,44219.1,29831.3,20618.9,21742,145616,76794.9,78372.6,208243,185475,65094.2
67939.2,75494,448619,197645,327665,859974,177804,497823,652743,31864.1,437578,245046,122725,249238,572487,92788.9,53316.1,75330.9,180030,15730.6,67890.7,36775.2,199447,119925,31540,227040,475183,30106.3,323658,133066,106252,38496.3,120990,277291,16963.5,127146,53736.4,12293.3,172814,92361.1,83686.5,61691.2,20122.7,22139.8,85987.3,68293.6,188485,61518.5,47907.5,42956.2,63484.7,23873.5,66912.6,5573.22,64277.4,18891.6,43162.8,14229.6,17820,34650.5,11630,52136.8,8849.65,25995.9,27638.2,31933.1,8835.39,31334.9,123179,51752.1,86071.8,40048.2,234898,51365.4
192104,61494.3,354434,148979,188091,1.28238e+006,445216,791134,177645,76810.1,244435,151681,384602,294641,297375,103619,47565.6,76054.3,108799,32231.8,58609.4,23635,80083.7,187475,16396.6,725157,192488,71966.4,131305,214625,48944,155917,146468,189424,11174.9,190511,76349.2,13294.1,100810,65716.7,113845,63288.4,34369.2,16579.5,110412,48694.4,304606,36277.5,118974,36802.6,62127.5,67323.7,68203.8,6820.87,33432.6,38140.1,37931.1,16127.2,25155.2,56205,25467.3,43568.9,28292.3,24723.4,36621.1,44164.3,13109.5,22739.1,162335,76896.5,61168.2,30569.7,395430,33499.5
258256,79738.3,226603,42602,197876,850282,843343,449075,160864,160824,44256.9,363618,98390.4,1.78408e+006,244625,50030.8,19326,37409.9,199267,45453.6,112273,99171.7,40941.9,522808,16425.9,129911,80431.2,210587,49431.1,141553,94791.7,116800,104057,128117,10906.5,348676,108166,17776.8,216773,50923.7,74326.6,108991,33567.8,19697.6,145368,44346.6,138230,43940.9,94158.2,22445.1,118711,119642,66968.4,12769,39370,16904,36337,19398.1,33416.9,40691.7,28685.4,20967.7,37452.9,41399.8,43366.3,66726.1,37966.3,28182.1,180896,64240.2,82909.8,42325.2,401875,49741.7
193963,183389,184023,45148.6,83939.7,318734,1.10466e+006,331897,388590,257570,222604,112387,115804,967745,192612,141531,17228.5,114769,525427,33854.2,84706.4,101149,56268.8,343125,46966.2,188294,155261,132619,46641.8,64046.4,134354,236977,157533,184213,14956.4,172558,121049,13054.5,134506,70065.2,128748,72910.3,39993.7,39971.4,33653.9,44020.5,215409,49537,37278.5,12827.7,80114.2,103630,35641.8,3556.76,88961.6,37182.9,50210.7,7677.67,25066.9,36863.7,43796.3,11072.9,58850.8,79339.2,15452.1,33054.3,53426.2,35791,124656,100963,67570.9,47294.5,149750,54958.2
154299,184901,82387.3,129534,77083.9,570248,625986,111122,1.45301e+006,274549,130749,122256,272053,314328,88254,247726,48951.9,33230.6,475387,154805,143861,72871.3,160583,153655,19816.1,83998.5,143816,257964,114772,41286.2,99089.7,109181,106454,179244,18187.4,197709,149808,10698.5,52353.6,141005,113407,58501.7,35105.1,108939,47780.5,52085.6,81169.7,75143.5,47750.8,61168.7,47652.4,80344.9,41386.1,5420.39,55159.7,68450.9,21031.7,3577.98,35169.5,21006.5,73338,8854.95,30830.8,59751.6,26089.2,89390.4,51774.7,77550.4,43753.3,120413,49095.9,73514.4,84216.6,64960.1
84988.7,123269,136960,138377,283676,713847,397189,56737,549043,616636,167523,105369,152486,276420,43200.1,279750,29296.9,121847,540863,52304.2,138669,54599.1,315092,58787.7,96381.3,247771,63474.3,84087.1,192506,49422.1,42418.7,71304,83790.6,74719.9,24104.8,188203,47848,17324.9,89801.2,132224,52124.6,61478.8,68938,73483.3,72624.4,90931.5,38482.7,26689.3,60906.4,20309.2,113324,48213.7,27507.3,4243.12,80530.5,46417.9,17275.9,2801.59,22653.2,26381.3,22159.6,15919.2,23056.3,29682.1,17783.1,69024.3,54072.6,43664.2,37626.5,27658.9,28312.5,100573,51880.7,39392.4
399238,95007.2,141737,92790,153042,682338,774829,38019.3,961512,125890,139680,138257,135827,261978,67964,204124,96904.8,115070,281329,293749,125858,106733,371297,80107.6,28657.4,254207,32992,143045,212390,52314.8,45131.4,39845,80894.9,54365.8,17796.2,127359,27185,46952.5,102243,85893.6,89479.5,33463.9,39338.2,116500,74720.3,58773.1,52658.2,27670.2,50819.4,99153.3,49709.8,98252.8,34098.8,4213.34,65058.7,57928,21264.1,6859.56,38481.6,36120.3,59255.8,30679.4,9764.3,21944.6,9567.8,45899.5,80256.4,73973.2,81566.4,32069.5,106032,205715,75450.4,80325.9
266263,158166,59849.5,138003,105177,584120,612837,49364.7,529866,111323,454208,90857.3,337828,268169,62286.5,121115,38923.6,133396,511810,309580,239144,105300,157545,140168,29497.4,231339,58487.1,106564,71489.8,89672,69882.4,17416.8,195638,13291.4,31669.3,191854,38151.1,43023.3,98132.1,119129,50451.1,78525.3,51877.9,67281.8,45193.1,40314.1,21851.7,46378.6,129569,60211.3,80499.5,32981.5,23544.8,17496,77665.5,47968.3,36304.9,5729.28,12303,14307.1,46530.8,18760.5,17371.6,37587.1,12246.2,63342.2,74357.6,33947.1,40735.4,49223.2,147222,233005,146709,63402
292273,206631,17421.5,39981.3,99814.5,478852,858092,31556.9,463773,96634.2,386454,19354.5,246613,453519,22496.9,348691,108288,70671.3,195409,148516,87158.2,101358,276114,124529,38517.5,152937,68828.9,170514,71437.3,113535,85335.9,30319,44448.1,99734.4,89315.2,307885,23616.9,88541.2,58270.4,150386,52166.7,122631,88700.2,111461,54924.6,35546,40738.3,34791.4,65586.7,47123,108550,22683.3,41196.2,31660.8,59455.1,19945.1,30055.3,29579.2,13907.6,44456.6,50556.3,17274.6,31177.5,62047.1,31543.6,32481.3,67430.9,51222,46761.4,87935.7,143327,243336,196349,115621
137180,695446,18014.5,47292.7,120752,503767,295441,35708.2,441447,138234,242912,42064,252995,344473,38811.1,488231,52141.1,143917,214358,122765,122678,252005,274464,67700,53104.2,157916,46642.8,150430,64653.2,137939,147875,25960.9,55673.8,57174.7,205058,308495,34428.5,37370.3,74641,148743,67096.1,137101,44806.1,70097.6,128260,51448.1,26381.6,28097.9,38550.5,74332.9,109519,46179.7,50542.5,28162.4,111635,43014.6,28502.8,39102.5,11289.3,60647.6,96959,25598.6,42542.6,54348.5,39446,138794,62541,46773.2,101447,111234,164165,46616.2,156050,68896.2
46522.7,421394,33253.6,36847.2,140393,421387,779767,89702.2,795938,48949.3,251251,64353.8,469787,176255,16746.6,546160,35580.1,73420.9,120829,71232.9,92162.2,150220,722751,16907.5,116509,257098,66329.3,100678,71411.5,66627.5,34115.8,21790.9,253169,80272,143935,365164,18793.7,35593.9,114222,91926.4,85146.2,105368,20190.1,115959,67154.1,43052.2,18156.5,19681.2,44221.4,89670.5,103276,54216,11276.9,69269.1,51988.8,81138.5,15498.5,24890.5,9584.21,79449.4,88569.7,31548.3,19865.7,67970.7,50043.9,165060,49795.5,45821.4,140418,55618.8,147957,38197.1,283921,212437
79252.5,658267,75295.1,23218.9,278293,1.06794e+006,789981,86834.7,298045,51998.7,364814,166359,266527,104887,25563.7,426143,30614.6,543124,67744.9,90980.9,128707,221149,105998,12382.5,102335,72646.6,73949,475206,28126.3,31564.4,20907.8,22603.3,103792,80249.8,369495,229854,25145.5,41256,169975,74952.5,161762,154176,20108.1,53051.7,117839,28188.2,10959.2,24501.3,108811,33823.1,25290.5,56776.8,14301.4,78394.9,72560.4,33765,22574.1,25806.2,10218.1,73478.1,79546.4,54270.1,26494.8,74679.1,59889.4,118056,58883.2,40049.7,88283.4,117200,185334,357873,167900,157280
