sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
50357.2,48186.2,46190.2,43640.5,40001.2,33757.9,27275.2,22355.8,17542.7,15089.1,14944,12838.2,11865.4,12682.5,12245.7,11681.7,10329.4,8807.99,8456.38,7738.6,7852.35,8246.28,8207.63,8084.93,7632.04,7490.33,7357.92,6556.1,5270.14,3458.17,2692.06,2446.98,2785.89,3381.33,3525.55,3414.24,3192.82,2662.87,2885.22,2995.87,3201.84,3614.03,2700.89,2663.89,3123.44,3226.92,3294.11,2884.92,2739.29,2844.91,2914.22,2569.97,2260.74,2136.14,2095.89,1950.9,1492.17,1212.85,1253.32,1280.65,1237.98,1300.92,1562.65,1863.24,2128.72,2387.43,2528.89,2704.79,2938.13,3256.32,3717.87,4228.52,4621.47,4895.97,5311,5855.18
26523.1,24540.4,21826.4,18009,15209.9,12791.8,10182.5,7869.92,5991.9,5379.79,5843.96,5758.6,5486.51,6630.26,7386.1,6900.58,5045.38,3762.49,4169.33,4239.18,5200.17,5966.49,6114.01,6346.93,5705.89,5619.23,5430.91,4445.57,3223.34,2115.48,1482.87,1422.31,2235.25,2810.46,2301.27,2221.84,2557.68,2180.54,1995.23,1906.16,1902.63,2283.15,1860.04,1762.4,1934.43,2033.48,1996.33,1607.11,1542.16,1570.58,1707.04,1769.03,1648.21,1475.92,1252.48,1053.32,874.264,754.545,991.018,1282.21,1313.73,1402.03,1622.85,1835.7,2011.6,2189.41,2371.67,2762.11,3268.11,4141.47,5456.12,6505.89,7016.86,7311.35,7574.87,7800.13
28008.1,25046.5,23026.2,19452.5,16677.4,16698.3,15259.9,12476.8,8029.04,5788.57,5806.61,6182.74,6548.22,9151.92,11393.3,11032.2,8744.59,6666.78,6461.36,5297.17,5508.17,6508.96,7075.4,7768.79,8685.5,8761.74,7250.13,5123.96,2707.5,1534.48,1112.85,1451.12,2492.34,3360.7,3377.12,4071.7,4655.8,4179.86,3831.74,3315.99,2941.04,2919.02,2088.37,1886.89,2069.64,2206.06,2354.48,1928.89,1809.13,1865.75,1822.08,1951.71,2100.16,1906.06,1746.22,1455.68,1131.63,1026.03,1107.31,1227.05,1326.18,1467.26,1665.35,1969.83,2257.9,2708.4,3222.49,3501.04,3855.57,4265.75,5163.21,6185.16,6530.14,7068.45,7679.61,8049.33
22989.1,19904.6,18161.3,14414.1,11866.3,12561.7,12094.8,10664.9,9264.48,8047.4,7516.56,6356.04,5850.28,6827.53,8152.98,8421.77,6635.45,6193.96,6597.14,6240.57,9397.21,12873.6,13881.9,13803,12684.1,11427.1,9475.22,5732.04,2514.57,1631.02,1212.38,1563.16,2364.26,2876.9,3064.59,3263.63,3757.81,4071.33,4016.31,3758.73,3428.45,3254.27,2391.19,2107.66,2411.99,2580.03,2597,2159.57,1995.03,2062.79,1949.43,1908.82,1959.54,1674.63,1457.01,1289.03,1236.5,1261.35,1323.35,1423.26,1425.57,1468.49,1647.81,1956.64,2336.25,2763.19,3200.05,3509.29,3964.56,4437.94,5322.4,6473.66,6964.72,7408.09,7904.56,8636.65
21790.5,19328.8,17402.3,14240.2,11865.5,11280.3,10991.3,10551.8,9541.58,8966.53,7716.6,7353.29,7804.26,9946.43,11624.1,10677,8115.96,4879.47,3748.92,4234.23,6756.11,9305.22,10966.3,11830.9,10837.4,10126.6,9602.77,7589.41,3810.26,1870,1479.42,1992.02,3097.34,3863.11,3546.18,3439.21,3959.39,3990.63,3395.43,3050.16,3195.69,3228.2,2091.92,1711.64,1986.96,2161.5,2252.18,2254.44,2260.85,2189.19,1766.26,1116.67,1009.52,900.882,827.712,818.605,964.557,1034.55,1077.54,1159.77,1147.72,1139.43,1275.96,1566.55,1863.18,2151.06,2493.94,2779.26,3357.33,3897.14,4901.62,5996.6,6229.24,6537.38,6885.6,7345.33
24567.7,22483.8,20647.4,17992.1,15432.3,14045.2,12367,11362.4,10209.8,9511.24,9405.09,8056.8,7029.25,7196.79,7674.18,6773.29,5635.46,4046.59,3259.15,3944.69,6978.01,9617.19,9516.08,9560.24,9210.17,8858.47,8690.65,7588.67,3806.74,1924.04,1315.99,1808.03,2441.88,3719.55,4349.78,4238.85,4373.05,4363.11,4077.6,3596.31,2996.63,2440,1613.29,1411.81,1739.28,1815.11,1887.77,1990.1,2097.92,2168.45,1393.29,758.335,726.276,688.067,712.632,693.545,852.457,921.503,879.422,899.957,855.934,834.481,906.36,1101.99,1376.67,1654.2,1965.27,2228.55,2534.67,2911.26,3424.85,3863.59,4013.22,4251.62,4533.48,4865.82
25483.2,23366.6,22162.7,15835.5,11866.5,12618.6,13501.1,13416.5,9368.98,6913.9,7436.57,7105.55,6375.19,7337.44,8496.23,6567.8,4755.37,3501.49,3675.06,5759.72,9295.37,10857.1,10076.3,10614,10018.8,8899.1,8217.21,7221.91,3199.16,1637.47,1530.71,2275.22,3232.01,4484.78,5261.16,5383.35,5375.2,5078.84,4863.07,4595.35,3837.76,3255.32,2587.42,2696.11,3468.44,3608.49,3600.13,3527.62,3376.35,3228.06,2412.58,1399,1097.03,907.69,887.888,1046.74,1332.48,1454.37,1427.25,1425.16,1458.29,1446.64,1492.45,1713.43,1998.73,2327.57,2781.88,3153.14,3582.45,3999.64,4578.99,5113.26,5224.84,5312.34,5464.95,5907.92
31198.3,29136,27946.3,24189.1,20129.1,17563.6,15237.1,12963,8704.66,6268.05,6956.66,6956.18,6199.81,8267.87,10420.9,9553.15,7289.78,3561.61,2361.41,3996.92,6724.94,9495.41,10536.5,10458,9480.84,8352.85,5933.93,4503.35,2829.8,1363.32,1720.84,2549.06,4146.69,5313.01,5431.73,5523.17,5152.59,4510.22,4010.32,3869.03,2903.4,2084.73,1691.12,1969.66,2351.32,2206.48,2325.43,2383.83,2591.4,2742.33,2370.48,1423.93,1007.96,907.742,893.852,1099.87,1234.08,1108.26,1086.71,1197.4,1425.88,1643.84,1764.69,1986.65,2395.08,2817.18,3710.02,4609.56,5086.91,5621.81,6031.14,6201.06,6386.16,6562.51,6926.86,7597.99
25708,23721.1,22854.9,18606.3,14288.7,12742.1,11421.1,10212.9,8483.15,6999.75,6228.26,4806.9,4478.02,6688.67,8657.76,8658.08,6025.32,3817.11,3471.96,5501.93,7447.57,8565.46,8193.29,7523.02,6902.28,6142.84,4986.68,4102.42,2203.45,1593.09,2233.91,3172.89,4355.91,5091.67,5268.4,5294.36,4984.48,4066.73,3410.81,3255.92,2499.71,2114.66,1870.25,2417.39,3240.66,3125.81,2976.8,2975.37,3269.76,3473.59,3021.19,1875.19,1297.41,1163.9,1137.59,1435.87,1540.69,1317.69,1367.9,1543.41,1934.74,2373.66,2630.02,2918.6,3407.2,3893.28,4682.08,5461.43,6070.07,6927.98,7712.39,8351.61,8826.49,9093.26,9249.43,9542.36
29825.3,28017.8,27081.9,20567,15309.8,15244.4,15183.4,11984.3,8268.4,6777.88,4861.21,2965.58,3457.84,6250.6,8177.01,8260.7,7224.75,3819.77,2909.25,4575.66,5866.76,6556.57,6219.07,5531.18,4816.7,4735.67,4518.55,4664.24,2945.13,1505.36,2017.14,2308.26,3509.48,4645.59,4614.86,4398.13,3673.4,2792.38,2310.62,2220.75,2126.06,1968.72,1914.8,2063.57,2225.73,2176.35,2252.38,2452.87,2440.19,2225.92,1818.13,1230.29,1031.01,993.675,936.258,1136.98,1199.18,985.863,984.103,1159.8,1335.65,1404.1,1541.91,1766.46,2191.03,2746.93,3382.23,3887.48,4528.42,5414.55,5984.43,6628.27,6984.63,7065.18,7279.88,7368.49
