sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012
10940.6,9408.99,8083.08,7049.46,6529.52,6370.48,5759.79,5234.45,5141.74,5215.02,5431.02,5479.28,5218.17,5262.37,5481.19,5085.22,4946.75,4906.71,4802.28,4945.29,4349.36,3632.33,2655.81,1899.58,2021.94,2336.03,3548.73,4427.49,4279.03,3789.05,3343.72,3363.28,3246.06,3108.54,2188.39,1615.41,1459.18,987.617,1263.87,1649.95,1848.28,1625.26,1472.39,1423.11,1214.16,1182.82,1301.45,1428.83,1480.39,1318.78,1146.98,890.07,806.382,732.363,572.019,589.066,468.584,308.667,283.441,291.355,357.575,454.404,645.893,837.35,997.189,1161.74,1308.32,1480.73,1700.25,1995.21,2218.96,2562.97,2892.81,3185.76,3457.98,3654.4,3896.87,4187.18,4611.78,5208.59,5840.12,6441.53,7188.55,7727.24,8363.94
12499.6,10713.8,9313.36,8825.79,8691.9,8594.37,7860.66,7085.2,6768.42,6705.8,7013.69,7265.27,6847.77,6234.9,5806.88,5149.81,4600.14,4221.09,4054.78,3712.59,3075.45,2500.15,1929.44,2016.36,2869.91,3509.44,5385.15,6301.13,5569.81,4476.07,3637.07,3482.84,3296.83,3161.62,2511.67,1923.01,1747.75,1420.55,1450.71,1563.97,1712.37,1420.22,1142.31,964.392,831.495,909.988,1145.39,1436.23,1533.45,1339.59,1095.67,838.185,742.272,657.47,556.615,678.431,507.318,326.405,316.315,323.485,383.544,479.515,637.686,802.448,907.867,1006.21,1180.31,1397.94,1641.26,1961.93,2248.34,2556.37,2846.33,3228.28,3589.97,3990.02,4499.19,4876.52,5209.84,5803.82,6510.21,7134.57,8131.43,8938.11,9514.67
11328.2,9202.53,7600.12,7179.53,7014.61,7019.89,6564.71,6011.7,5692.55,5647.61,6016.28,6321.86,6466.53,6453.99,6015.43,5242.76,5096.56,5046.97,4909.16,4623.96,3839.33,2957.86,2109.58,2249.36,2629.07,2950.47,4475.14,5222.19,4855.42,4405.09,3708.42,3321.52,2906.19,2515.71,1667.86,1272.31,1455.28,1643.74,1751.51,1577.14,1695.42,1557.97,1306.3,1296.31,1305.56,1400.9,1545.86,1709.96,1747.42,1589.64,1326.51,1119.95,1106.73,636.784,611.675,779.594,601.421,497.87,528.785,528.729,566.883,653.463,777.192,887.74,952.687,1036.48,1155.37,1305.75,1556.7,1957.83,2369.5,2732.23,3032.86,3333.6,3592.33,3826.1,4089.4,4369.55,4650.74,5273.75,5920.66,6487.32,7160.34,7543.65,8224.71
13092.5,11015.4,9576.03,9109.2,8752.23,8571.77,7990,7487.68,7273.4,7648.52,8714.86,9268.54,9006.17,8873.12,8251.08,6937.72,6326.12,5776.28,5476.34,4879.17,3681.69,2842.66,2259.42,2762.36,2833.59,2754.64,3139.63,4000.48,4302.45,4036.93,2683.47,2447.43,2780.16,2593.78,1756.81,1471.43,1607.61,1423.4,1326.62,1215.97,1302.97,1472.4,1614.11,1697.51,1616.08,1440.48,1443.86,1811.82,2252.5,2130.57,1711.61,1371.62,1360.65,898.8,978.376,1215.54,1018.25,808.392,804.215,874.971,943.828,1181.35,1474.26,1594.94,1641.81,1692.17,1823.94,2024.28,2366.65,2878.95,3322.09,3624.91,3863.26,4046.69,4153.35,4274.89,4608.57,4928.78,5123.59,5589.44,6240.7,7030.44,7667.79,7969.95,8451.82
13874.2,11997.8,10746.3,10230.8,9619.21,9186.49,8254.02,7325.15,6429.78,6433.54,6384.45,5846.25,5907.31,6045.99,5571.48,4649.85,4715.95,5008.85,5706.47,6442.88,6301.99,5568.46,4144.38,3760.78,3773.53,4189.7,5365.44,6604.89,6888.52,6589.14,5244.76,3992.46,3202.51,2452.17,1712.25,1754.98,2165,2148.93,2036.46,1768.64,1522.76,1487.16,1411.12,1268.85,1331.73,1421.82,1565.57,1772.11,2005.65,2078.15,1813.7,1393.41,1338.73,809.219,1105.34,1412.84,1051.02,797.605,686.199,680.918,791.042,935.609,1107.9,1214.11,1279.38,1390.36,1539.69,1684.56,1926.86,2264.53,2543.89,2721.1,2928.45,3210.19,3431.75,3552.32,3940.72,4487.61,4887.91,5721.31,6706.57,7437.27,8206.21,8914.11,9608.11
14978,13330.9,12157.7,11494.8,10832.3,10371,9225.39,7564.98,6015.83,5842.94,6187.11,6186.61,6375.28,6227.11,5735.28,5219.28,4750.33,4358.47,4792.47,5237.99,4974.05,3938.69,2649.89,2736.69,2717.1,3264.32,4366.9,5298.12,5590.84,5119.34,4454.5,4190.45,2748.71,1763.79,1423.74,1487.32,1968.83,2000.49,1775.11,1431.44,1238.38,1396.23,1486.04,1405.86,1406.2,1356.74,1449.71,1574.87,1670.76,1742.32,1628.57,1155.98,961.461,624.64,946.857,1093.31,772.604,577.452,523.694,656.585,880.99,1100.05,1426.22,1659.24,1728.23,1837.64,1965.63,2073.47,2255.83,2561.7,2860.2,3120.14,3427.1,3771.19,4130.22,4372.34,5022.07,5866.43,6462.02,7516.53,8794.66,9651.74,10393,10961.6,11138.5
17905.8,16167.6,14749.7,14209.1,13769.1,13289.9,12369,10845.4,9682.8,9453.56,9107.81,8826.39,9632.25,9968.91,9399.88,8769.91,9349.85,9235.98,8389.11,8032.41,7184.62,5390.24,3713.12,3539.94,3215.55,3665.33,4892.39,5590.06,5895.39,5411.92,4760.32,4705.45,3877.55,2735.99,2142.62,2197.82,2454.27,2444.81,2177.17,1855.21,1616.38,1695.75,2063.08,2063.09,1903.9,1901.86,1986.16,2168.22,2150.04,2100.14,1793.23,984.686,700.24,563.145,738.525,871.903,711.415,619.187,575.556,592.39,655.696,714.608,896.281,1058.87,1151.45,1255.75,1393.98,1564.99,1750.76,2032.73,2419.27,2759.7,2967.77,3372.86,3871.9,4184.71,5017.78,5945.63,6519.95,7474.01,8194.16,8586.76,9017.11,9295.17,9517.91
16023.7,14448.1,13298.7,12596.8,11752.4,10904.2,9810.87,8700.61,8341.53,8558.78,8428.31,8655.74,9695.12,9959.59,9125.82,8344.56,8276.37,6691.73,5601.58,5645.94,6321.68,5432.46,3849.77,3994.07,3716.18,4025.73,4749.26,5381.6,5545.27,5199.37,4668.75,4577.14,4004.61,3074.89,2555.24,2607.37,2564.49,2133.24,1772.42,1503.37,1383.49,1647.27,2007.87,1868.35,1641.39,1632.92,1608.91,1781.59,1881.75,1836.05,1368.18,741.18,631.202,544.11,668.961,701.112,527.472,452.281,395.209,378.855,465.774,496.017,617.224,784.624,866.683,940.887,1070.18,1208.53,1341.61,1538.26,1813.08,2072.48,2228.16,2441.02,2652.51,2827.37,3153.66,3649,4163.01,4792.49,5388.61,5891.95,6374.81,6697.54,7093.59
14982.7,13483.2,12364.1,11899.4,11300.1,10810.1,10482,9685.22,9131.8,9386.9,9484.92,10384.6,11544.7,11742.6,11585.1,11025.8,10553.9,8940.12,7022.52,6352.95,5884.45,4969.97,4104.52,4458.48,4421.73,4383.39,4285.41,4231.7,4194.95,4160.35,3912.87,3842.85,3236.72,2414.7,2016.61,1977.62,1970.01,1566.11,1323.45,1338.49,1239.64,1419.01,1178.01,1031.73,1221.25,1292.17,1239.36,1374.04,1383.92,1347.4,833.951,623.604,701.133,733.05,783.951,751.914,589.412,465.311,324.748,285.298,389.127,457.894,621.032,819.334,873.323,898.418,928.204,968.803,1052.71,1163.82,1412.88,1685.7,1962.1,2317.74,2521.88,2692.16,2897.95,3293.43,3674.86,4205.07,4831.93,5184.32,5467.43,5585.24,5875.02
11009.9,8869.79,7488.39,6917.79,6492.21,7009.55,7197.8,6448.65,5963.48,5858.86,6000.77,6729.7,6800.27,6565.39,6019.77,5257.72,5607.39,6101.23,5159.62,4823.69,5131.66,4912.17,4113.4,3689.97,3927.88,4574.99,5024.94,5479.57,5578.03,5487.31,5273.86,5103.94,4403.23,3389.15,3049.26,3071.63,2930.04,1783.46,1097.06,978.42,1048.04,1251.07,1070.13,1030.59,1114.89,1162.82,1134.34,1061.87,1084.62,1271.48,1157.13,1013.21,1006.3,886.624,837.571,674.431,540.664,510.324,483.826,464.721,551.21,632.578,749.284,933.237,1044.73,1109.46,1199.96,1309.96,1432.26,1581.43,1860.58,2195.17,2537.78,3160.1,3652.63,3960.61,4350.7,4737.85,5176.16,5894.44,6719.13,7640.24,8351.31,8606.61,8926
