rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
80585.4,34085.7,71081.5,103629,51189.6,121877,62948.5,166225,166098,72986.3,62258.9,184394,138567,76025,202786,41318,162612,100950,85006.3,122304,84988.1,447072,107012,60543.5,57944.8,206045,89376.5,65097.3,69981.3,35920.5,109960,35417.4,51003.9,188144,95004.5,114876,21699.8,76284.8,98426.3,39721.9,77098.6,61143.5,43398.1,37829.8,40473,32231.3,23114.2,38407.5,32073.4,37734.9,106390,13660.1,21751.9,41917.7,13426.2,26806.9,25044.8,54177.3,4674.17,33426.9,8357.09,24911.9,16646.4,42661.7,29564.7,22151.5,68799.1,24432.4,77234.7,20588.8,49028.9,24809.1,58810.8,70942.8,105298,73814.4,108262,100962,57682.2,180670,96112.2,79171.2,72537.5
84176.7,81770,50574.2,71095.5,66347.8,214014,97971,158515,77818.5,48322.6,66402.9,104665,145017,77311.8,93507.1,43185.2,141498,117893,129829,126438,87569.8,729955,93022.8,28289.2,49826.2,225451,96324.3,127855,73117.9,69675.6,78999,34416,68702.4,105147,64054.6,134152,34235.3,98747.3,54663.9,34099.8,71583.9,70499.2,67085.8,56453.5,37985.6,17263.8,45342.8,26270.9,30748.1,44599.9,94089.4,21991.4,29702.4,55976.9,11203.2,23240.1,33508.9,47149.8,7849.62,10290.2,11321.4,32805.8,15825.9,42253.9,39706.5,30959.3,43853.8,29827.7,74703.2,25132.8,100479,49427.6,46524.6,54426.3,121649,57201.3,129398,188089,60473.5,132254,78905.9,140787,146792
85851.9,55371.9,55174.1,75560,77931.6,205718,80144.9,184795,113349,36193.3,82084.4,160416,85469.6,93715.8,164709,62505.4,84800.3,98360.1,190785,33034.3,86185.2,646847,139046,31168,41646,171744,72418.4,80062.5,56248.9,80758.5,71109.6,104965,91757.4,68640.1,42191,112689,34344.5,101700,58596.2,38050.9,94352.9,73744.5,47473.9,43966.2,45807.3,29905.8,88857.2,30348.4,20307.2,99533.2,66213.3,14702.4,60406.6,48624.2,10141.9,34244,32856.7,29446,6888.68,11153.1,18364.3,12565.6,12513.4,42927.6,59322.1,44065.7,43612.5,34400.1,59092.9,29943.1,60108.5,31945,44490.6,43140.9,149602,41824.1,147618,62362.2,61172.9,139515,61213.6,251629,89773.7
66606.5,64193.3,60627.2,88415.1,223920,405570,84331.7,122888,188508,71785.7,48520.3,122971,77931.3,146316,102577,61277.5,85806.8,91871.6,508082,20794,69982.4,188336,353453,39276.7,81053.1,71141.6,151304,359807,53447.5,96267.7,68321.8,119245,66869.7,64698.1,64287.8,55347.2,59799.4,99524.1,33845.6,24060.4,36682.4,50120.9,121128,97655.5,20060.4,50919.1,54250.2,38454.4,19913.7,164182,57443.3,8498,27933.6,65958.3,15621.5,22095.7,93350.9,34131.8,5427.82,13145,12574.6,25957.2,17326.9,73907,69689.6,50605.4,41584.8,49593.6,30356.9,23172.1,56741.9,95343.9,16830.5,39186.9,97081,117071,163404,63474.1,47249.2,68444.9,73682.2,340314,127520
70407.9,59326,39906.4,54151.8,244436,130315,54098.4,166177,147304,31070,30133.2,201334,96949.5,252992,147188,142945,94253.4,83965.5,163647,24432.4,176152,432004,264187,63867.5,122210,44809.4,135381,306031,101565,64782.4,101339,135293,115646,46081.2,50010.5,30771.2,55842.1,49846.8,18656.3,77719.5,54168.3,50012.9,50943.3,134416,33413.4,43720.4,54264.6,22967.7,55439.3,227385,56979.8,6834.54,25729.3,31766.9,23840.8,46903.8,47403.3,32077.8,1751,19730.1,20957,22501.7,11966.4,59205.3,42963.7,29183.5,17543.1,61590.2,44065.1,23690.1,23854.4,107467,17655.6,63618.6,172391,105381,114669,94497.2,45507.8,150946,321872,111855,97596.8
102544,61459.6,19805.9,46638.8,210752,140739,120830,161812,95384.5,78411,78181.6,121523,79534,179498,57363.6,213906,75573.6,104924,230711,28570.7,288970,459082,171807,85362.3,110526,35486,84104.6,148539,173423,68016.4,69924.4,184066,91710.1,29483.9,36263.6,44777.5,76422.1,77353.2,42345.2,47669.7,21355.8,47176.7,52479.2,122579,54493.3,24520.6,74837.5,24282.6,26379.1,207876,81404.8,9498.38,10519.6,34724.4,44978.5,35060.8,59746.6,75998.5,2326.54,15215.8,28697.7,19915.8,14198.3,45283.8,51459.7,32323.9,41304.4,61717.9,55713.5,35054.2,31728.1,167254,22630.2,92351.3,200016,157264,110219,160119,33979.2,76389.6,220791,128498,142511
118118,73448.8,23829.3,158348,104757,71051.5,83016.8,580704,185939,45730,77484.4,422537,48959.2,102530,124799,151281,109365,102756,86255.5,59865.4,309161,350696,128269,126041,93351.1,56606.5,216330,275508,141117,66647.7,75595.1,84060.7,166887,7430.49,64044,79382.7,73381.5,110468,31907.1,53278.3,69657.9,39580.7,67260.5,74048,67865.3,18302.4,51068.4,23985.4,22261.6,107845,81296.9,11639.8,12188.9,32182.4,25672.3,19946.5,29994.6,68413.8,7248.75,15486.8,17427.2,28064.7,11995.1,26258.9,53112.6,56669.3,21687.7,32789.6,90146.9,15881.3,48833.2,184814,27795.3,111717,175782,51956.4,127010,58092.6,43992,93076.2,302274,30018.6,201366
127668,35141.5,23530.4,161333,79697.1,168022,158992,562806,226739,40413.8,94190.1,242009,25836.6,57191.7,199851,388311,84453.5,79725.4,201621,92360.2,299810,200703,227260,40226.6,145745,17823,134744,234620,269028,62678.7,71339,38545.8,151849,12022.1,45436,140638,149004,81905.9,24426.1,45721.1,61238.2,22847.3,120828,107098,31397.8,28348.6,71549.2,45204.9,13780.9,104344,61664.3,7564.86,8443.11,24191.2,24191.8,48743.1,15171.2,71540.4,8171.83,7706.52,15197.2,27021.6,5921.59,21377.5,33450.3,44724.4,18928,28210.4,56537.4,10854.6,30171.6,57331.9,67540.2,61642.2,108779,64134.9,103218,51150.4,51337.6,86623.5,155276,48529.9,311908
190136,64416,24853.8,195679,91338.9,220743,325343,175645,280158,93799.3,59242.3,210580,34073.1,28553.6,211444,137414,108722,95232,366034,78540.4,234060,134894,142484,72991.3,148964,25797.1,168649,112206,127435,47202.8,96384.5,21568.6,116283,18031.9,41837.5,64472.8,135922,57577.8,66869.9,65544.9,46262.4,16297.2,97217.8,37940.5,46360.5,36523.9,89831.7,50988.8,23389.4,69531.2,41208.3,8198.08,6346.93,23368.5,18600.4,45213.4,13114.6,68829.8,10063.1,4824.39,7974.37,9376.8,8165.71,14006.2,15799,45807.7,12916.7,64007.4,46591.8,11257.3,31402.2,26045,70250.6,20345.5,142637,55746.8,68736,30287.4,33632,94702.7,89307.5,36692.2,276333
337710,42553.1,14314.7,169998,75039.1,119228,218275,63899.8,172313,55328.3,145673,276617,93914.7,23055.2,255645,144844,93819.5,105665,249272,330326,180842,207470,233677,57849.5,133643,32584.5,137392,161790,173418,43131.8,154122,22859.7,98761,23506.7,31189.9,65018.7,84441.2,55550,65604.1,35790.4,65269.5,21333.8,82005.3,47289.5,70617.1,55687.6,85269.4,36484.8,13473.1,64626.7,26759.9,23333,6413.06,26949.7,13016.3,43842.5,12298.6,45391.8,21503.6,12012.3,5900.17,23775.5,11348.3,21959.6,19795.7,46402.1,13177.6,69257.5,107658,16633.2,65787.2,47885.7,45981.3,51737.2,131556,121307,194199,27329.6,40949.2,76066.5,233654,92902.6,306187
