rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
33002.3,96969.6,140949,72206.3,73748.7,271346,74202.4,221319,151619,35919.7,56817.7,75024.7,94406.9,84531.8,160767,379300,130291,43741,81292.7,79834.5,238739,322473,55963.2,49009.1,32289.2,39422,70144.8,286595,149452,178117,43626.1,20879.2,44661.3,174793,11723.7,106320,85455.2,44417.9,285852,38836,111053,100087,19425.7,50885,53887.1,94808.2,30868.8,12620.7,17223.1,97156.6,13334.8,59323.8,21100.2,47574.3,4202.6,13240.1,60473.7,17079.8,12334.2,30276,18265.2,7742.8,11889.3,7863.43,26084.1,64682.7,36553.4,34551.9,56693.6,47271.6,17755,14097.2,31550.5,126371
52589.3,57722.3,111995,45790.3,32658,85631.5,82421,92101.2,225990,16546.3,62849.8,77659.9,63279.4,67329.2,230866,750295,65010.6,42727.8,61387.5,55486.2,230161,277847,41105,65983,76191.4,15545.7,42780.2,164972,118375,255897,290045,35929.3,47426.9,91003.1,7414.44,130690,147588,67044.7,170157,53926.1,106160,85480.5,17400.8,23440.5,29390.3,102335,95722.7,10129.3,19767.6,25054.2,14598.3,40481.4,21598.3,61036.7,16610.7,11657.6,33743.9,28343.7,10147,13558.7,27816.6,18150.9,13923.8,11443.7,73423.1,95091.6,33041,69844.8,76565.3,50073,8087.66,20770.4,70376.2,55462
73962.5,36352.6,112184,47686.9,128973,73033,153433,86404.6,546165,47032.1,51837,44879,77974.2,86976.3,119057,627833,117816,29818.6,61500.9,224552,29819.9,202894,30249.6,60122.6,88713.6,15285.2,83597.8,344658,56553.4,233897,209326,13696.1,32542.6,90538,21719.5,168760,95498.2,80404.3,133192,34838.1,142964,86136.6,13643.3,80715.1,9760.52,48077.4,146790,28253.4,13157.8,62259.8,21048.9,21276.9,13487.7,30958.2,27157.9,42754.4,39465.2,23242.2,22539,9076.37,59271.9,72959.2,9152.75,21431,26312,89802.5,28771.6,31195.5,80298.4,84919.4,15994.5,20483.5,41177.9,29083.5
89899.2,60652.7,108879,35307.9,100501,92351.4,96149.5,62891.6,142055,68365.3,72527.2,82991.6,138589,39609.3,37846.6,1.23627e+006,243826,83643.3,25924.5,95225.8,30861.2,308009,20593.8,23465.3,92137.4,12170.1,229860,311359,113964,230114,16725.5,68762.5,32583.5,308758,25580.9,140739,26246.8,57826.2,109029,51173.9,42342.1,48276.9,31025.7,54766.7,47362.7,44099.4,69649.8,27996,6524.37,115788,9289.5,26188.8,27633.1,63262.2,42748.9,5864.49,25473.6,28983.4,17510.4,11448.6,65515.1,88556.2,9966.98,19217.9,17419.3,61612.3,38517.5,29317.7,50159.2,41320.6,25271.9,14253.9,72774.1,14450.4
94439.8,72034.4,63205.4,97217.3,255542,161497,150614,22119.9,152669,46857.4,48779.8,91567.5,80542.5,146479,47132.2,434251,344751,367855,38518.6,43072.9,36270.7,157104,56720.4,38236.2,48960.4,20380.4,258650,481814,229464,51501.7,24946.1,75158.2,17272.4,178465,62183.9,99136.6,18551.5,79368,99088.6,40120.1,34430.8,53527.2,78153,63747.8,55194.5,27147.6,21194.1,64531.2,9268.76,138759,12985,44342.6,16538.1,39089.6,10135.8,12061,14865.9,38779.2,12929.2,7063.29,31910.4,48168.4,3461.7,16494.6,13222,55734.1,5527.48,34774.5,16025.9,14030.8,24438.9,28381.3,26707.3,40502.4
29819.2,118509,47686.4,107113,255655,106289,95879.4,37529.5,35868.5,38332,76983.7,104131,100043,94327.1,35600,383802,227553,395892,37184.6,42169.9,48614.1,333803,63755.9,39144.2,22244.3,56790.1,300451,169478,252433,62143,26810,96122.1,21455.8,124800,21722.6,74076.8,35834.7,33467.4,88206.6,43760.6,24310,42127.7,84752.6,59543.5,56376.7,12640.6,42424,25052.8,15614.1,156561,12775.2,42393.2,13403,27138.5,12793.7,10495.9,15191.6,19183,26759.5,16779.8,24857.3,19755.7,6554.11,23083.9,31961.2,28107.6,8816.62,32429.7,18267.3,12174.3,34113.2,7080.86,33719.8,67728.1
71374.2,184669,56012.2,84920.4,364200,130358,45955.6,41488.3,69089,60876.3,85028.6,43285.5,31918.8,49534.8,234892,815425,163466,134629,76039.1,5891.41,98687.1,317342,64498.6,63729.3,23466.6,66915.9,147294,102948,297289,90958.3,42099.8,111061,18254.7,81860.5,41551,135361,33384.7,72744.4,157214,40087.9,42264.4,53008.2,42752.8,36435.1,95042,17047.8,48492.3,19616.6,63060.6,132305,22960.4,33155.6,8030.13,15034.8,7502.45,42833.3,13258.7,36315.5,34751.1,17973.3,47915.2,20054.6,7999.32,57883.3,30767.3,84630.5,5021.48,55107.3,13607.3,29012,7868.45,29378.9,118777,720088
18642.6,61865.6,77281.7,65962.8,191956,231898,38278.7,72681.5,106201,87278.8,141674,31406.7,21030.4,109841,60342.7,899685,231666,120508,56632.3,13523.1,36765.4,93566,129996,86676.1,25281.8,78004.7,122094,150347,272599,98612.7,74965.1,77892.5,16183.3,65095.9,185132,71264.4,22783.8,66554.8,185067,38068.3,47457.5,70198.2,57436.2,58871.8,49438.7,22797.3,63370.1,39262.9,48118,134640,27098.2,9441.51,8942.51,21523.7,6670.03,96344.1,16818.8,33536.1,23898.2,8030.64,55088.3,38200.7,8522.37,87613.8,27476.3,56615.9,5721.72,73667.9,13347.5,53430,5985.67,140976,187824,349971
36046,93146.2,94660.6,60766.5,248267,231941,33854,55991.4,74175.6,40233.3,318505,29019.5,38297.4,75329.5,68100,981067,217047,78858.8,188900,9994.14,26864.7,164116,25958.5,42602.1,59216.3,245424,415937,165723,212200,40967.1,35634.4,125494,41749.5,106107,46651.5,29381.8,50168.2,52710.7,203966,79201.1,11578.8,41540.8,77516.5,67221.1,112356,14548.6,59446.2,33822.8,18389,119934,34315.7,10718,9276.31,22717.7,16425.4,78736.2,13041.4,26117.2,66402,11998.3,35946.9,29954.2,7546.7,156154,45032.8,100929,14651.4,54673.8,17057.5,46370.3,9339.64,137506,175006,112561
94532.1,100529,87701.8,74187.5,173656,188970,48830.8,70677.9,103675,28415.2,273660,24597.4,21322.3,99585.5,151001,793741,143888,33097.9,46347.2,12865.5,68532.1,53674.1,81943.8,59924.7,103135,108930,482508,139525,80582.9,66474.8,44786.3,50315.5,57392.7,113262,35951.6,48488.2,31818.5,65345.4,192777,34241.6,11997.7,68071.4,76515.1,19427.9,54319.2,13496.9,102574,15798.7,24323.8,166468,42364.7,4397.79,9245.2,13495.7,26526,47837.8,13928.3,13916.1,32642,35352.1,26773.1,20256.9,2381.33,125572,42875.7,40751.6,26274.4,17452.3,21649.8,38391.4,10173.7,77898.6,59043.9,62201.4
