sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
26767.1,25076.8,24107.5,23333.8,22236.5,20148.2,17714.4,16157.9,14782.5,13774,13487.7,13114.3,12065.8,11123.9,9805.85,8607.2,7646.18,6809.67,6643.37,5862.91,5654.22,6193.12,6340.64,6232.53,5988.32,6214.49,6707.92,6441.73,5678.53,4556.55,3720.07,2989.7,3318.9,3786.99,3618.42,3329.71,3071.73,2779.64,2994.63,2761.85,2399.48,2562.14,1888.53,2249.7,2865.93,3091.07,3475.32,3286.59,2987.05,2712.24,2320,1857.61,1566.54,1415.03,1460.09,1377.37,1133.9,952.944,834.137,703.704,586.739,636.465,774.14,867.603,989.808,1120.66,1164.06,1217.38,1327.82,1480.33,1807.71,2219.94,2519.01,2796.74,3086.48,3289.31
14989.5,13384.1,12213.4,11210.1,10158.1,8986.21,7779.18,6972.16,6258.39,5785.14,5555.34,5429.22,5077.54,5203.46,5079.81,4389.79,3613.34,3269.64,4111.18,4297.39,5798.17,7566.67,7437.85,6674.7,5143.4,4619.18,4366.64,3785.81,3139.54,2624.09,1924.01,1352.54,1918.48,2364.42,2314.5,2673.9,3063.61,2936.38,3000.73,2694.53,2425.14,2722.29,2274.07,2258.61,2609.74,2865.93,2782.72,2295.08,1943.12,1693.12,1661.12,1703.33,1599.7,1421.63,1278.23,1057.38,841.591,700.268,693.104,727.286,703.957,726.641,835.046,942.382,1022.87,1142.01,1279.48,1457.16,1678.66,2048.79,2711.18,3307.19,3737.44,4178.72,4522.3,4658.54
12156.5,9924.34,8728.97,8070.64,7396.19,6898.54,6168.41,5759.58,5160.97,5027.73,5335.92,6029.23,6518.74,7927.65,8902.45,8137.54,6947.67,5745.33,5871.03,4345.54,4853.97,6491.15,6792.09,6285.14,5304.48,4416.03,3721.57,3037.56,2011.38,1560.57,1317.07,1341.39,2438.19,2958.75,2818.5,3451.71,3970.68,3678.78,3541.15,3241.34,2828.22,2705.41,2161.24,2213.29,2518.04,2820.76,2983.26,2485.15,2204.23,1901.57,1621.98,1778.56,1941.46,1759.99,1608.61,1329.51,1020.26,889.769,837.69,869.23,933.229,1016.62,1132.4,1288.86,1471.84,1712.81,2128.46,2451.25,2633.38,2800.43,3134.89,3558.32,3786.21,4050.98,4448.47,4669.7
10119.2,8230.54,7098.06,6380.25,5711.56,5440.18,4916.95,4626.31,4448.44,4475.63,4458.95,4495.8,4616.57,4600.98,4517.66,4342.73,3948.69,3978.97,5226.22,4468.87,6923.68,10395.2,11075.1,10117.6,8450.08,6973.7,5903.63,4392.98,2205.43,1683.36,1463.02,1566.42,2262.67,2149.37,2158.07,2472.79,2793.07,3014.94,3798.71,4151.79,3728.98,3168.22,2216.34,2034.9,2036.47,1911.66,1632.16,1329.86,1272.54,1207.31,1114.4,1142.41,1301.54,1255.13,1277.75,1103.37,905.545,860,875.432,988.88,1007.15,918.967,943.103,1110.83,1313.74,1607.17,2111.8,2491.83,2652.25,2776.89,2977.1,3261.26,3419.72,3545.9,3696.4,3804.21
10952,9391.22,8310.42,7675.94,6846.39,6303.47,6009.89,5952.22,5763.97,6300.56,6562.74,6453.88,6437.72,6146,5576.05,4721.77,4166.36,3027.31,2817.69,2309.26,3669.24,5778.94,7370.77,7417.83,6035.45,5112.47,4353.11,3531.01,1953.78,1537.3,1935.65,2548.22,3525.76,3722.96,3003.08,2558.24,2642.33,2583.95,2696.36,2720.14,2477.67,2197.1,1766.92,1721.82,1792.35,1793,1649.43,1613.35,1642.03,1494.67,1281.61,984.016,1029.4,1006.19,1010.81,836.063,653.408,567.402,555.974,591.222,589.601,547.695,599.85,729.804,840.957,973.471,1213.89,1411.56,1524.72,1628.74,1829.59,2017.05,2086.08,2160.62,2178.91,2232.06
11329.1,9594.8,8377.83,7893.33,7292.31,6483.53,5633.53,5348.75,5223.98,5904.9,6452.33,6110.26,5572.22,4772.3,4142.34,3145.53,2708.79,2083.28,2051.42,1664.13,2928,4297.17,5213.68,5555.81,5146.26,4852.23,4990.83,4904.79,3334.48,2523.3,1528.57,1816.48,2221.61,2557.52,2484.98,2239.49,2347.81,2383.83,2550.75,2368.9,1848.52,1527.16,1114.27,1117.14,1282.71,1292.9,1348.26,1579.72,1633.57,1427.96,970.471,629.97,686.983,720.921,786.296,616.718,471.335,366.194,339.267,368.641,364.386,361.82,411.62,528.279,667.354,801.682,958.166,1099.5,1234.63,1423.65,1635.23,1764.75,1857.63,1962.99,1990.3,2088.57
11633.2,10348.5,9703.95,8122.96,6954.73,6622.27,6504.72,6734.73,5709.26,5948.37,7224.79,7230.04,6352.25,5555.32,5164.14,4350.91,3724.13,2873.06,2934.38,3424.34,5727.53,7684.81,7319.78,7343.42,6345.16,5182.36,4939.9,4925.24,3403.94,2254.93,1525.14,1711.13,2244.9,2974.08,3409.35,3416.77,3491.63,3378.45,3349.25,3069.16,2437.72,2119.36,1833.23,2116.09,2584.16,2574.14,2569.46,2651.11,2513.56,2298.57,1846.19,1279.85,1086.59,1033.93,1054.79,1011.12,821.133,623.779,577.024,572.181,671.718,774.38,881.355,1120.77,1317.66,1534.74,1793.57,1958.66,2233.13,2544.95,2920.35,3207.78,3306.13,3372.29,3375.85,3687.1
15118.2,13509.7,12715,11259.8,9912.75,8984.44,7748.47,7015.88,5104.53,4477.64,5520.17,5879.89,5341.55,5092.6,5180.99,5134.88,4721.92,3296.28,2791.65,3192.12,5782.55,8653.66,8841.25,8431.29,7071.01,5610.68,3773.48,2996.36,2498.78,1790.28,1192.75,1481.35,2111.42,2384.38,2421.35,2718.29,2858.06,2658.71,2506.93,2456.35,2005.87,1646.22,1297.93,1661.54,2007,1808.6,1835.81,2013.99,1894.69,1634.74,1303.6,891.291,858.52,963.476,1214.68,1308.38,915.375,529.625,496.594,561.236,815.07,1037.73,1093.79,1246.82,1374.61,1585.42,1950.58,2198.02,2546.15,2942.39,3238.79,3426.5,3582.75,3742.04,3966.82,4415.08
13586,12260.2,11791.5,10151.2,8325.94,7052.33,6058.75,5899.37,5577.94,5838.3,6557.38,6484.1,5820.9,5507.63,5450.36,5481.44,4819.2,3297.48,2421.83,3135.01,6052.83,9123.31,8940.43,8556.8,8422.6,7410.94,5576.33,4363.08,2829.29,2126.1,2282.41,3232.93,4292.83,4878.76,5109.6,4988.14,4837.42,4172.35,3547.91,3088.92,2184.28,1741.76,1503.49,1899.07,2303.83,2064.05,1960.97,2183.16,2427.88,2643.35,2388.34,1604.24,1273.28,1182.66,1269.64,1373.81,1152.57,889.473,836.669,853.298,1063.84,1273.41,1329.2,1560.61,1793.84,1961.71,2293.81,2567.43,3187.56,3938.2,4460.47,4823.7,4928.06,4964.25,5059.17,5261.08
14607.5,13133.6,12570.7,10836.8,9112.18,8172.44,7395.87,6739.65,5565.32,5394.48,5704.95,5576.33,5027.15,4808.42,4764.45,4717.25,4391.33,3097.71,2339.02,2847.65,5089.65,7566.17,7113.28,6013.2,5150.75,3982.89,2812.74,2372.34,1459.82,1510.92,1826.18,2731.27,3676.36,3932.54,3886.85,3885.77,3553.28,2686.04,2111.85,1806.03,1467.63,1458.23,1518.22,2021.43,2362.59,2137.79,2073.16,2160.93,2102.2,1888.15,1371.89,1071.54,1105.93,1120.81,1359.8,1479.52,1166.69,810.206,668.294,680.703,796.024,829.037,828.651,948.133,1130.02,1347.88,1634.86,1844.95,2308.52,2919.53,3224.81,3411.57,3458.41,3433.43,3496.02,3559.93
