ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
182884,0.822819,0.199888,0.199888,67657.9,148.416,0.26,0.735, 21390.9, 6964.77, 1514.64, 0.39522,0.113235,7.92924e-005,3441.84,259.939
182884,0.822819,0.199888,0.199888,67657.9,148.416,0.26,0.735, 21390.9, 6964.77, 1514.64, 0.39522,0.113235,7.92924e-005,3441.84,259.939
182884,0.822819,0.199888,0.199888,67657.9,148.416,0.26,0.735, 21390.9, 6964.77, 1514.64, 0.39522,0.113235,7.92924e-005,3441.84,259.939
213305,0.703978,0.199888,0.199888,67615.2,12966.4,0.26,0.735, 24949.1, 8949.33, 1587.55, 0.300278,0.0716401,7.36953e-005,3198.9,289.365
238072,0.612229,0.199888,0.199888,64888.6,45156.1,0.26,0.735, 27846, 10752.3, 1598.23, 0.239439,0.0666545,7.18969e-005,3412.01,303.727
202690,0.683356,0.199888,0.199888,72848.9,56.1124,0.26,0.735, 23707.5, 8645.09, 1476.81, 0.285875,0.0544854,5.6192e-005,4630.71,317.926
198269,0.64479,0.199888,0.199888,69090.8,625265,0.26,0.735, 23190.4, 8721.69, 1384.36, 0.260133,0.0567503,5.71123e-005,4515.49,332.89
198960,0.563998,0.199888,0.199888,69769.1,435.591,0.26,0.735, 23271.3, 9352.51, 1251.43, 0.210209,0.0566217,4.5238e-005,7086.39,333.505
179509,0.688368,0.199888,0.199888,59268.4,1188.3,0.26,0.735, 20996.2, 7625.82, 1314.81, 0.289331,0.0834414,7.41228e-005,4263.88,329.959
183019,0.705055,0.199888,0.199888,60405.7,9.65152,0.26,0.735, 21406.7, 7672.06, 1363.62, 0.301043,0.0967712,8.33896e-005,3842.79,327.836
236131,0.760517,0.199888,0.199888,51211.7,565.836,0.26,0.735, 27619, 9467.31, 1854.55, 0.342551,0.0922949,9.20465e-005,3086.48,330.182
134977,0.90931,0.199888,0.199888,49265.9,246947,0.26,0.735, 15787.5, 4760.03, 1193.85, 0.484226,0.103367,7.93017e-005,4522.3,338.264
112886,0.927375,0.199888,0.199888,50070.4,2944.86,0.26,0.735, 13203.7, 3912.55, 1011.37, 0.50615,0.0906634,6.73935e-005,4448.47,344.241
92189.7,0.841769,0.199888,0.199888,48574.8,138.62,0.26,0.735, 10782.9, 3454.59, 775.128, 0.412871,0.109,7.07435e-005,3696.4,345.633
96760.2,0.87622,0.199888,0.199888,45764.8,98.0637,0.26,0.735, 11317.5, 3517.77, 835.322, 0.44742,0.13646,0.000108691,2178.91,346.612
100007,0.882446,0.199888,0.199888,43656.3,808.925,0.26,0.735, 11697.2, 3615.45, 867.365, 0.454048,0.193513,0.000127673,1990.3,357.2
106239,0.666708,0.199888,0.199888,51797.6,903.322,0.26,0.735, 12426.1, 4591.95, 760.324, 0.274584,0.111569,8.15416e-005,3375.85,368.192
138028,0.587311,0.199888,0.199888,52715.5,100926,0.26,0.735, 16144.4, 6362.9, 896.97, 0.224146,0.133727,6.89347e-005,3966.82,372.752
124457,0.630309,0.199888,0.199888,54812.4,491852,0.26,0.735, 14557.1, 5539.08, 854.292, 0.250823,0.10093,5.82144e-005,5059.17,350.741
133737,0.561061,0.199888,0.199888,49985.7,2.17962,0.26,0.735, 15642.5, 6302.25, 837.597, 0.208476,0.119105,7.76785e-005,3496.02,354.386
157469,0.554621,0.199888,0.199888,52683.6,44.6407,0.26,0.735, 18418.3, 7461.36, 976.886, 0.204694,0.100885,7.26522e-005,4139.39,356.86
121508,0.714975,0.199888,0.199888,48856,6.87159,0.26,0.735, 14212.2, 5053.36, 914.301, 0.308163,0.136819,8.55843e-005,3052.3,344.907
164290,0.691214,0.199888,0.199888,53430.5,23297.2,0.26,0.735, 19216, 6963.45, 1206.9, 0.291306,0.097716,7.28682e-005,3264.83,339.818
177456,0.70356,0.199888,0.199888,56395.1,39.6374,0.26,0.735, 20756.1, 7447.76, 1320.18, 0.29998,0.107184,7.41825e-005,3709.41,333.337
141788,0.893896,0.199888,0.199888,59897.4,557.116,0.26,0.735, 16584.2, 5072.61, 1240.16, 0.466584,0.110625,6.16561e-005,4540.57,340.101
118969,0.843102,0.199888,0.199888,52004.4,183.918,0.26,0.735, 13915.2, 4452.98, 1001.34, 0.414146,0.134256,7.05248e-005,3733.79,335.21
111926,0.872907,0.199888,0.199888,55464,187.873,0.26,0.735, 13091.4, 4081.23, 963.85, 0.443944,0.0913036,4.51183e-005,6264.09,339.028
127042,0.710492,0.199888,0.199888,52664.5,11653.7,0.26,0.735, 14859.4, 5302.47, 951.713, 0.30493,0.0806784,5.35482e-005,4589.37,343.286
141253,0.614691,0.199888,0.199888,51873,361290,0.26,0.735, 16521.6, 6366.77, 951.198, 0.240974,0.0628286,5.35109e-005,4137.23,348.211
142778,0.623546,0.199888,0.199888,54568.3,271.553,0.26,0.735, 16700, 6389.36, 972.054, 0.246534,0.0488851,4.47111e-005,5069.28,352.995
127425,0.695416,0.199888,0.199888,51276.8,552849,0.26,0.735, 14904.2, 5382.86, 940.152, 0.294238,0.0571794,6.18392e-005,3791.53,342.605
