ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
117441,0.882086,0.199888,0.199888,58418,27.602,0.26,0.735, 13736.4, 4247.11, 1018.3, 0.453661,0.148714,6.99521e-005,6734.16,400.925
116094,0.959373,0.199888,0.199888,62349,458529,0.26,0.735, 13578.8, 3895.82, 1063.42, 0.548925,0.13387,6.50293e-005,7402.2,393.393
141251,0.907503,0.199888,0.199888,56950.7,158345,0.26,0.735, 16521.3, 4989.76, 1247.72, 0.48211,0.169159,7.35144e-005,7658.59,386.234
125883,0.806128,0.199888,0.199888,48578.1,281.906,0.26,0.735, 14723.8, 4861.63, 1028.4, 0.380358,0.150821,9.67636e-005,5929.08,380.025
151560,0.908628,0.199888,0.199888,48281,4.03588,0.26,0.735, 17727.2, 5348.28, 1339.87, 0.483426,0.176877,0.00011403,5072.58,384.264
187312,0.740048,0.199888,0.199888,61793.2,900814,0.26,0.735, 21908.8, 7635.07, 1443.77, 0.326728,0.0936673,6.29387e-005,7541.78,385.729
147884,0.689977,0.199888,0.199888,57011.1,203.695,0.26,0.735, 17297.2, 6274.29, 1084.99, 0.290447,0.109967,7.36771e-005,7569.87,388.729
128856,0.873673,0.199888,0.199888,54143.1,448.448,0.26,0.735, 15071.5, 4695.32, 1110.28, 0.444744,0.164373,8.27152e-005,6529.58,379.319
113459,0.72784,0.199888,0.199888,53545.4,1247.87,0.26,0.735, 13270.7, 4670.28, 864.472, 0.317582,0.119591,8.00447e-005,5549.22,396.354
80344.7,0.776986,0.199888,0.199888,60382.5,3797.29,0.26,0.735, 9397.48, 3178.42, 640.296, 0.355769,0.113457,6.25785e-005,9130.97,396.021
74680.9,0.791908,0.199888,0.199888,50278.9,40843.8,0.26,0.735, 8735.01, 2918.39, 602.86, 0.368157,0.143815,7.2757e-005,8885.13,396.561
91754,0.814406,0.199888,0.199888,56110.6,453175,0.26,0.735, 10732, 3519.12, 754.72, 0.387652,0.119797,6.11561e-005,9415.87,393.573
104530,0.943462,0.199888,0.199888,55930.5,17.2801,0.26,0.735, 12226.3, 3565.56, 947.085, 0.526965,0.165734,7.23786e-005,7576.56,385.321
119680,0.882763,0.199888,0.199888,54318.2,8.10939,0.26,0.735, 13998.3, 4325.45, 1038.24, 0.454389,0.166487,7.00256e-005,8201.48,382.924
106108,0.796866,0.199888,0.199888,52546.9,5548.24,0.26,0.735, 12410.8, 4129.55, 860.155, 0.372365,0.174372,8.40863e-005,7184.1,387.409
109174,0.748799,0.199888,0.199888,57465,477.232,0.26,0.735, 12769.4, 4418.81, 848.35, 0.333414,0.121823,6.73546e-005,10246.2,389.332
106197,0.696553,0.199888,0.199888,62549.2,390318,0.26,0.735, 12421.2, 4482.03, 784.442, 0.295036,0.0760893,5.44017e-005,12779.7,386.37
137889,0.708163,0.199888,0.199888,66656.3,12.5891,0.26,0.735, 16128.1, 5765.92, 1030.58, 0.303261,0.0765872,5.43501e-005,11263.6,374.721
149019,0.615106,0.199888,0.199888,59784.2,1.56461,0.26,0.735, 17429.9, 6714.51, 1004.01, 0.241233,0.0778607,7.13715e-005,6877.35,382.69
130975,0.78973,0.199888,0.199888,58052.3,8657.78,0.26,0.735, 15319.5, 5127.47, 1055.33, 0.366323,0.0916975,6.56302e-005,9248.06,375.757
103460,0.915094,0.199888,0.199888,55932.4,66.7315,0.26,0.735, 12101.2, 3628.59, 918.887, 0.491091,0.115942,7.09583e-005,7970.59,385.237
135349,0.87661,0.199888,0.199888,55176.9,7541.64,0.26,0.735, 15831.1, 4918.99, 1168.8, 0.447831,0.147178,7.79483e-005,7112.87,385.633
133831,0.8761,0.199888,0.199888,57427.2,296230,0.26,0.735, 15653.4, 4866.02, 1155.25, 0.447293,0.125131,8.4136e-005,7304.39,382.483
117108,0.912333,0.199888,0.199888,60680,1447.31,0.26,0.735, 13697.4, 4118.04, 1038.05, 0.487796,0.115186,7.33078e-005,8321.6,384.522
118701,0.770704,0.199888,0.199888,68741,332.994,0.26,0.735, 13883.8, 4719.9, 940.767, 0.350673,0.0864964,5.24299e-005,12290.1,381.49
137899,0.857449,0.199888,0.199888,73307.4,69.0817,0.26,0.735, 16129.2, 5097.53, 1173.65, 0.428172,0.0932453,4.58317e-005,12604.8,389.291
145775,0.765505,0.199888,0.199888,68028.4,41.3133,0.26,0.735, 17050.5, 5821.02, 1150.03, 0.346506,0.0879417,4.101e-005,11157.3,398.325
113911,0.788536,0.199888,0.199888,65508.4,30.3656,0.26,0.735, 13323.6, 4463.83, 916.906, 0.365322,0.13095,4.66727e-005,10463.1,392.484
