rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
59078,57885.6,96670.3,41613.2,41382.1,219268,90335.5,35267.8,133800,50009.5,147533,800861,53973,342744,90663.9,148619,335829,42856,266279,110360,74457,203789,245574,227741,19264.8,35122.5,127285,106932,68860.3,135071,28606,224181,308770,11670.9,62989.1,156487,155749,97786.5,61484,55142,60671.7,66113.1,49188,43894.7,21272.5,80204.8,84628.8,25296.3,123297,49038.1,19950,42329.1,64083.7,13895.9,47138,7521.76,112647,54374.8,24669.4,58607.9,67547.9,21942.3,7305.36,47647.6,46702.8,88684.7,9092.85,67409,34626.8,142692,62231.7,55745.4,64075,46015,152356,101973,72962.4,120000,67188.2,116169,18950.1,360500,98676.5
25779.8,87294.2,78727.6,130810,23612.4,140265,146631,63120,70428.2,65341.2,78126.3,963364,99947.2,418790,71695,72548.1,194988,52684.2,187460,91539.9,163723,114567,387398,321371,33948.8,5813.76,126694,74706.7,135372,173985,14506.9,295945,190896,12716,65971.8,200258,112986,63823.5,20073.4,133344,51032.5,74812.5,24227.2,19723.2,80032,36686.3,112946,63820.6,223132,38623,13733.6,31782.3,65121.7,10436.3,50149.4,21084.2,36363.4,24327.6,22264.1,53396.7,58583.3,24729.8,5852.47,26125.4,17084.8,84453.6,9369.76,77422.9,47709.6,173749,27206.7,53809.5,27363.6,39508.2,313237,84816.8,136633,151845,14499.1,288777,23985.3,457260,73582.9
28721.5,112020,135452,125128,88809.6,285760,163861,50876.2,168536,155392,65927.4,483601,41919.2,492524,133757,52293.6,202789,34790.3,258806,148523,279199,81401.2,162565,214968,43803.3,20061.9,63867,52229,76833.7,72636.2,43068.2,322030,197637,20607.7,118108,196146,136439,82357.2,55167.7,86584.5,27751.2,18759.5,26882.8,78830.3,158568,13552.1,33159.5,48031.8,204789,54488.9,41975.1,31273.4,52334.6,9945.94,44358.6,18776.8,53449.8,33360.6,64012.7,25639.3,73418.5,19382.2,2775.17,68255,21297,78266.4,22202.8,48879.3,127453,195906,37177.1,45576,20095.3,243085,103280,96654.3,207456,162795,24234.9,380315,30589.5,666171,57598.4
23409.9,70880.2,70880,135921,88404.4,261054,255804,161678,464116,130557,64292.4,240973,61136.6,245852,102863,51992.4,195919,25957,185923,339369,85437.2,93732.9,227649,323523,75820.3,24024.8,67874.6,40170.8,104013,166170,37170.4,110322,101254,26300.8,82762.4,127711,60881.7,241491,56997,62013,64004.5,14091.7,21140.4,96788.7,95332.3,38554.3,22787.9,80970.7,149570,27378,50609.8,22673.5,62071.7,10938.2,43943.9,24526.6,22605.4,45445.4,32079.1,19725.2,54100.4,9875.05,3339.5,47073.7,14112.2,27289.2,52297.9,73479.5,58431.8,45025.6,18935.8,44869.2,29813.7,214298,47666.7,65198.3,73725.1,260808,12926.4,97948,10493.4,429497,50841
54542,53879.4,36956.3,189797,58895,223335,254808,380378,586070,238370,149868,165700,17745.9,167320,60583.3,38131.9,682103,24494.6,148570,176520,61754.7,105292,229060,194891,260410,12875.2,77478.8,46838.9,136494,119001,61266.8,153179,30942.2,42849.4,63743.2,198671,32903.4,149718,135333,97349.9,62419.1,10513.5,22191.5,95611.1,119102,48652.6,23854.6,47786.3,135407,42769.8,33829.5,29071.3,40890.5,9877.94,45192.9,22311.1,15236.4,27893.7,54462.8,32138.3,23212.5,15341.5,4490.22,23635.8,18358,37270.1,23148.4,73992,56492.1,98239.2,36780.4,26426,49954.5,263391,28704.6,124139,123620,240765,20081.5,72156.6,26147.9,300792,108788
55388.4,138608,48126.1,198614,160614,98227.2,242775,472697,798235,407230,265027,107572,10948.2,185693,28099.3,43558.2,306654,21774.7,261406,151173,69375.9,93593.6,170402,269248,185119,8202.04,56291.7,103051,160992,90884.4,46759.3,154145,28675.7,68642.4,108115,221092,54242.3,80087.2,91676.8,155783,42212.3,18491.4,26963.7,42324.5,110503,63735.8,30983.9,28144.8,220542,41832.5,18314.4,52787.8,30521.1,12121.1,44652.4,32517.2,12940.2,15382.5,41712.1,21248.6,44236.1,11099.2,3740.49,19111,40734.8,27339.8,16339.6,49879.3,22102.8,117597,24832.1,18801.2,29678.4,172206,28384.6,71557.7,57610.3,325378,18855.1,152296,11261.5,192662,43606
37569.7,155422,154246,231331,149855,165825,124401,616013,1.03797e+006,297215,160205,72681.2,13862.9,52702.2,41382.8,108270,140315,20695.1,106881,471593,39778.7,85728.7,108075,406392,149881,18327.4,87281.4,50278.3,62950.9,295123,41557.1,249399,42334.1,36708.1,56965.5,59703.6,115312,129222,158051,93430.8,81882.1,11414.8,24199.3,64086.5,110048,68836.5,19331.1,37421.1,138443,53641.6,21050.1,50061.7,47874.6,9406.76,41205.7,13719.4,7927.77,28451,34652.7,14840.4,20077.2,7704.83,5609.93,21907.8,27403.7,19516.9,12119,43243.8,16538.4,64185.6,76715.8,11895,35477.8,108552,44719.6,29145.7,52719.4,232770,23430.3,40831.3,11333.5,109855,63542.4
40125.5,216366,257225,225673,102632,35632.9,59267.6,743367,710413,436103,105734,94380.5,11643.3,66894.4,32066.3,165627,124856,160547,32966.6,593041,43704,30583.3,73575.9,331881,159399,19598.1,79430.8,109902,237893,184223,30041.7,132428,28754.1,54064.9,96369.6,69014.6,126166,55274.7,106908,81948.7,46450.9,18906.7,26766.9,54223.9,91707.1,53639.5,12069.6,101180,147388,26365.6,22792.4,31784.6,24737.4,14283.1,31088.9,9096.9,10569.3,23072.5,36279,9747.84,18771.9,4838.85,8031.87,8992.06,30105.9,25264.6,19924.2,29145.7,11407.9,49260.6,101166,17261.7,37201,55276.2,81514.2,17262.9,33374.3,363905,10662.2,86036.6,8705.11,59040.9,99770.9
35421.4,492412,180751,149591,163446,20938,94757.1,448169,387439,432837,58071.4,107306,6339.22,72700.1,31371.8,80159.4,191599,266558,34868.9,179330,29690.5,12268.8,104403,316513,139070,88429.5,57237.1,78827.1,79813.9,144890,53532.2,141356,28230.4,47425.3,85258.8,113058,63938.1,80251.7,56502.8,103161,82880.3,10875.1,97220.7,45887.2,76717.1,64526.4,5505.58,45567.3,121613,10801.2,49023,24348,39734,8296.04,34584,8841.82,9560.66,40136.3,9700.27,12486.1,6878.14,5260.73,11691.9,7348.17,20955.9,11299.8,18748.8,28911.7,25309.8,36004.7,82298.6,15270.2,48668.1,62054.5,21659.2,18811.7,45259.4,154751,13230.4,115641,11181.1,96010.3,167661
31389.2,503923,207695,113512,88277.6,36256.5,403668,163950,293565,168985,53465.3,96873.8,17224.8,93079.1,13040.2,71863.7,454008,89047.4,52260.2,150986,20786.6,19748.8,29633.7,665219,173036,13712.4,45453.5,90643.2,210542,231286,49351.7,132967,24572.8,17156,295782,89767.9,88425.3,65381.8,61845.4,72470,129292,19063.4,25984.3,89869.8,54416.5,41225.9,10782.9,30706.5,107499,10106.3,75475.5,19868.6,97838.8,10540.8,46651.6,6822.83,16680.8,64298.4,5471.74,15451.4,11588.2,25245,15870.8,10182.9,24871.8,26182.4,32982.3,10791.4,29459.8,78913.8,72272.8,26550,68536.1,80918.1,34707.9,10302.1,40467.9,431414,19288.2,81393.8,23665.1,79296.5,223018
