sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012
25062.7,23214.3,20194.9,16104.3,13578.4,11985.5,10515.1,8789.23,7418.12,6795.3,7689.4,6141.71,4437.63,5771.57,7855.8,9139.41,11785,12005.2,10803.5,10586.5,10870.9,11493.8,11217.4,9065.62,7470.36,7507.78,6459.02,5581.53,5185.65,4558.43,3846.72,3715.09,4243.89,4769.98,5192.69,4835.95,4246.34,4487.73,4421.28,3876.74,3534.86,3104.95,2474.88,2258.96,2188.8,2139.33,2110,1758.73,1702.13,1794.75,1625.58,1758.37,1822.96,1594.37,1489.7,1401.99,1098.97,900.816,878.393,914.221,903.321,994.045,1198.22,1338.5,1423.7,1548.96,1648.23,1692.2,1791.03,1961.05,2367.23,2721.23,2865.66,3073.81,3282.97,3523.58,3711.15,3823.95,3965.32,4333.93,4734.01,4949.04,5245.65,5514.41,6092.44
28194,26285.6,23070.1,18112.5,15312.6,13598.5,11994.4,9747.75,7844.85,7057.7,7247.75,4879.18,3371.12,3528.3,5115.02,6831.13,9786,10485.5,8871.41,8090.32,7826.47,7744.79,7515.58,7157.13,6774.62,7059.78,6662.08,6204.99,5468.99,4616.44,3653.37,3630.05,3910.98,4009.17,4186.84,3387.14,2633.08,2606.26,2552.52,2384.09,2613.43,2347.67,1600.65,1369.79,1121.77,1137.32,1321.93,1118.4,998.435,1228.96,1265.92,1615.23,1756.13,1623,1378.29,1074.95,774.608,580.634,531.344,514.872,496.632,506.075,584.359,678.039,767.391,879.944,931.247,951.997,1020.71,1098.06,1363.62,1655.31,1835.15,2046.78,2271.71,2502.11,2717.95,2973.73,3245.37,3930.97,4627.49,5033.23,5751.07,6248.99,7037.82
31108,29322.4,23804,17892.3,15302.6,13895.1,12263.6,9802.29,8359.92,7615.63,7599.62,6771.41,6438.82,7163.98,9266.05,11160.7,13213.1,13301.2,11761.6,11066.9,9963.02,9159.7,8569.81,8506.53,7845.79,7607.01,7551.54,6760.61,5820.82,4820.8,3992.79,3693.54,3593.39,3371.38,3213.28,2721.32,2872,3436.56,3470.35,3458.84,3187.37,2649.4,2244.78,2150.89,1900.94,1659.4,1637.02,1354.48,1386.76,1837.41,1922.34,1856.26,1442.01,1173.42,1228.03,1227.94,1064.26,1017.52,1034.27,930.89,873.313,934.375,1102.81,1308.42,1476.49,1654.46,1734.62,1729.08,1848.19,1983.47,2334.6,2833.49,3161.48,3693.03,4394.62,5071.54,5705.56,6034.51,6716.56,7741.16,8224.84,8818.87,10059.1,11094.3,13195.3
37078.8,35302.5,29411.5,23799.8,21554.8,19845.4,17326.9,13866.9,11223.5,10279.9,11057.9,11353.5,11686.1,11462.6,12113,12595.4,12507.1,12944.3,12779.5,12518.6,10490.2,8976.8,8467.92,8595.37,9240.27,9384.09,8689.61,7747.92,7977.5,7690.53,6584.04,5784.62,5071.66,4402.79,3775.13,3194.93,2804.45,2871.35,2981.56,3054.94,3093.98,2595.68,2105.75,2023.55,1858.05,1687.78,1731.07,1204.15,1052,1360.86,1533.08,1554.96,1323.25,1135.29,1108.73,1077.68,916.453,912.054,970.689,937.272,943.603,947.254,1108.54,1312.92,1450.37,1638.27,1709.06,1676.88,1733.24,1812.87,2001.33,2321.01,2580.3,3003.85,3460.64,3803.52,4155.47,4390.67,4709.48,5139.61,5529.98,5809.18,6789.47,7969.99,9053.65
35125.2,33350.3,29963.7,25751.6,22599.8,20949.9,18843.2,15968.6,13506.7,11930.5,12739.6,13494.2,13744,13684.4,14210.4,14825.3,13621.5,11915.4,10767,10026.5,8628.6,8183.33,7602.65,6835.94,6852.1,6813.23,6374.76,5988.2,5858.82,5955.62,5261.04,4554.43,3945.61,3887.48,4244.95,3976.8,3825.53,3704.31,3605.11,3729.31,3786.69,3273.81,2413.39,2238.8,2264.64,2149.73,1993.62,1399.46,1072.06,1199.02,1340.5,1503.15,1486.04,1225.38,1069.83,954.528,930.75,974.078,981.144,945.465,926.376,954.888,1131.85,1367.9,1673.79,1970.3,1991.5,1948.75,1983.39,2022.75,2315.57,2740.85,3172.1,3748.28,4413.63,5158.93,5745.18,6172.64,6590.76,7022.33,7437.61,7787.68,8796.8,9964.12,10976.7
27702.3,25688.9,22991.7,19207.3,15953.9,14466.9,12107.2,9402.23,8318.16,8146.5,10154.2,13506.7,15820.7,17985.5,19762.9,20513.4,18979.5,15997.6,14037.5,12167.2,9173.02,7579.84,6585.34,5508.4,4375.57,3862.91,2995.42,2751.62,3133.07,2666.65,2089.86,2533.58,2962.92,3722.45,3916.78,3107.62,2924.99,2764.51,2679.05,3046.36,3075.66,2740.97,1817.05,1616.04,2181.83,2297.16,1939.49,1616.44,1325.29,1332.99,1260.49,1367.64,1477.75,1227.57,1091.16,957.326,907.611,913.474,908.381,887.784,896.561,918.37,1044.61,1264.86,1505.52,1738.27,1787.76,1770.29,1816.76,1938.49,2289.65,2720.9,3236.21,3764.99,4404.05,5169.03,5707.47,6275.94,6938.85,7499.5,8138.89,8710.07,10209.9,11965.7,13405.7
28519.4,26592.6,24548.7,21783.2,19784.2,18272.8,14909.8,11599.2,10697.1,11141.5,15647,18709.2,21138.6,26698.5,28954.6,28071.7,25053.4,20989.7,17608.3,14466.3,10854.8,8345.63,7008.05,5961.54,5881.42,6101.63,5055.19,4475.56,4849.75,3985.77,3093.64,3913.26,4711.48,4350.8,4132.59,3805.41,3854.52,3581.72,3183.65,3374.88,3112.81,2795.76,1840.23,1616.71,2182.71,2346.52,2080.39,1782.69,1455.8,1307.62,1104.12,1152.29,1317.48,1114.12,884.317,688.832,652.224,789.544,899.584,841.4,758.575,686.389,692.004,814.514,1002.54,1183.41,1214.24,1188.4,1209.23,1291.58,1524.8,1801.35,2263.54,2843.5,3591.37,4758.16,5604.99,5976.47,6242.67,6428.42,6859.38,7248.37,8328.19,9717.32,10457.2
35325.3,33846.6,31965.4,29503.3,27740,25622.7,21817.6,17802.4,14865.4,12723.3,13761.1,14731.7,17871.7,26020.8,30565.5,29401.1,27793.1,24757.2,20187.3,15789,12415.3,9396.9,7445.96,6429.78,6209.72,6249.62,4544.41,3822.84,3904.35,2351.53,1851.06,2569.17,3311.08,4072.62,3938.87,3209.77,3335.51,2886.13,2321.5,2483.61,2419.36,2258.22,1587.42,1275.46,1637.05,1660.36,1472.03,1297.69,1092.3,972.759,794.249,819.678,989.246,1172.61,1041.75,701.805,557.559,537.023,533.184,494.388,448.817,402.711,426.87,552.722,688.444,804.864,828.894,816.479,844.857,965.608,1152.6,1311.93,1613.1,2032.97,2612.28,3604.11,4432.02,4929.59,5226.11,5428.92,5823.19,5989.38,6845.93,7864.06,8369.77
49669.7,47749.6,46322.1,43546.4,40342.5,36913.2,33023.8,28282.3,22996.6,17907.5,16354.3,15829,17473.4,20912.6,21560.4,18288.5,16212.9,14645.1,11118.4,8102.57,5387.99,4359.52,4645.64,4219,3471.87,3440.2,3026.82,3185.92,3439.73,3090.86,2864.15,2808.26,2914.52,3216.89,2874.01,2351.64,2443.42,2219.41,1962.66,2257.18,2396.01,2187.18,1798.21,1491.47,1955.69,2332.57,2215.24,1964.17,1690.56,1427.68,1155.02,965.449,877.601,1005.63,869.878,601.087,536.904,574.825,543.164,498.597,449.096,352.745,353.543,425.321,506.642,610.794,611.096,600.238,630.081,703.247,839.97,1015.38,1329.6,1799.66,2298.14,2908.83,3434.93,3910.34,4325.23,4514.28,4681.69,4730.75,5229.62,5760.99,6294.61
52385,49790.7,47702.8,44125.6,40763.5,37387,31173.5,23741.5,18835.5,16487.2,16539.4,19445.6,22190.1,24076.2,22734.1,18631.3,14996.1,11214.6,8062.59,6182.12,3314.44,3197.43,4025.07,3738.01,2525.29,2045.04,1848.01,2178.68,3043.39,3403.01,2989.72,2549.14,2200.82,2561.76,2360.75,1769.51,2007.12,2146.36,1881.56,2798.64,3598.17,3251.08,2517.95,2054.88,2303.74,2652.58,2628.53,2058.06,1659.5,1485.44,1239.9,1085.36,953.991,1021.57,941.553,761.615,697.451,766.333,787.976,792.837,776.14,600.559,535.929,593.979,679.798,793.433,864.255,933.552,984.942,1097.35,1292.6,1486.76,1743.73,2071.23,2485.92,3023.65,3520.56,4084.62,4565.59,5010.36,5494.45,5674.47,6505.45,7404.15,8007.62
