rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
65018.6,265733,102556,87752.3,140016,537743,130930,109542,550980,101273,554764,1.2464e+006,116609,215149,135798,347812,243563,102019,124721,129586,98541.6,101517,228496,111312,56361.4,31931.6,223964,147965,198738,239969,18815.8,101365,234366,13754.7,71018.5,145543,90925.5,76831.5,74648.2,40826.1,76396,43380.5,33978.8,62318.3,87778.8,45946.5,106700,27916.8,64228.4,84118.4,16018,24213.9,69727.5,13901.8,34457.9,21198.8,84937.2,31576.3,10048.7,19451.3,39867.3,14284.9,4541.33,16607.4,41897.8,90986.2,4991.94,30404,43000.8,50254.7,54727.4,16442.8,22347.9,52270.6,104818,42195.9,49972.8,61876.7,36605.8,124711,35333.5,244225,73448.8
74034.1,396723,65342.4,180040,92136.3,287775,215302,123975,171141,197274,257349,1.20543e+006,102589,192176,162199,188723,180561,114226,184246,68775.5,102904,80603.4,519808,184724,83958.1,8874.49,244917,96621.1,237107,199920,15283.8,115077,159657,15832.3,67332,260108,51442,47640.5,47465,58310.6,106011,50213.9,24370,40989.6,115548,26609.1,160121,48027.2,144129,37089.7,7700.53,37045.1,68233.3,13417,26284.6,38479.1,28634.8,16888.1,8485.21,20651.1,26319.2,7982.26,4874.46,6940.9,15779.2,65301,7214.06,29440.2,32553,46772.7,30100.5,22156.4,17623.4,54541.3,151810,24122.4,81776.9,104799,12715.1,202024,43374.1,241071,35793.1
67208.2,246572,100581,211366,159872,387128,200106,152939,388962,518816,183761,993232,57789.7,150767,183269,172521,193265,61839.9,279062,140232,250767,104738,133482,121600,71978.3,27588.3,222804,61416,77446.6,137929,31381,259394,212074,12279.3,90900.6,97354.6,103025,63726.2,87570,95425.2,51771,17282.1,21671.8,110463,159458,14577.3,71973.8,49813.3,97140.1,38571.5,24744.2,45600.8,72399.3,17363.7,22183.3,23618.2,35481.9,34306.1,25581.4,31129.5,39554.6,6355.75,5337.46,27699.3,18018.5,93219.6,21109.4,25649.7,106390,97816.6,91139,37876.4,28213.1,214475,83391.6,29808.7,175851,179841,29487.2,341268,76140.4,1.01537e+006,41538.7
61001.5,140201,48028.7,264917,243638,479145,328948,302445,294160,503039,130284,656773,222508,143817,131375,110699,140006,35066.1,390787,318077,57866.6,64419.9,125052,408425,136006,23554.9,100375,58229.7,91065.7,158496,43072.5,77667.2,156346,20640.1,73463.4,53561,41189.4,159667,95839.5,96362.5,80681,15757.5,12777.7,83268.3,157128,53958.9,56263.9,48370.2,62420,33999.1,33296.7,39471.5,88480.2,16818.1,18137,22376.3,20520,54878.3,8673.81,37391.4,37086.6,4565.87,7517.56,23675.8,13258.3,50288.4,26694.9,33692.1,92304.1,44118,56140.9,37238.7,40866.5,97412.2,47003.2,22091.8,57212.4,288871,26257.3,99390.3,20894.5,696176,37514
216837,91589,51433.2,480163,190375,516994,281391,249093,270800,633673,242069,447307,38360.2,99097.4,101472,191601,303252,18785.6,203864,223015,53187.1,91172.1,124759,171780,280791,10515.5,135484,35925.4,197534,231027,73459.2,160224,27821.3,34264.3,65815.4,163817,39906,151543,90867.5,189337,76649.3,9004.36,15180.2,67796.2,155444,68878.6,62335.5,36707,78098,57714.8,35026.3,57574.3,49925.7,20282.6,19024,18378.2,19163.5,39808.1,23241.6,78342.8,20429.1,5313.86,10786.6,11249.4,11589.4,80675.3,22360.3,67466.6,70457.4,109563,90281.7,57869.6,74679.7,93640.3,63152.1,37971,84225.6,289513,66337.3,123339,41910.2,545087,119491
220730,113630,38138.7,653247,421245,585306,454244,301501,1.018e+006,567518,278530,164112,34948.5,121245,57450.9,241580,210348,41353.2,93351.1,181087,56044.3,46744.1,247878,123138,164529,13848.9,170238,134253,296281,169762,32504.9,220816,16289.1,39829.5,108650,97659.4,92727,91309.2,94462.8,232934,22555.2,14542.6,39332.9,32663.6,122110,41320.9,98052.4,33146.4,75529.2,77184.4,19116.7,55762.3,48079.2,31515.4,27002.6,25506.8,17177.8,49316.3,21059.6,59832.7,22771.7,8241.1,6936.62,12390.4,25724.2,73059.1,29445.1,83018.8,41348.9,134167,55235.1,63980.8,107594,119425,51818.9,71305.2,55707.9,399473,94868.5,273737,47263.6,387737,51968.3
164069,213893,97476.8,442810,268964,1.04653e+006,342899,1.01192e+006,948696,212469,191250,170480,59727,57598.9,67563,349135,83302.2,63496.1,41257.4,445646,45513.4,48845.8,223951,130215,75034.3,27304.5,353928,66827.7,88141.2,228251,24549,306093,43821,23264.3,80441.7,38824.3,172341,170204,130164,176810,35340.5,17541.5,30360.9,17223.1,86751.7,27906,86400.9,49756.6,75578.2,67735.5,22814.6,52753.5,65173.4,21712.5,50144.1,14016.6,7534.99,28346.9,23587,47441.2,18049.8,6234.38,4814.88,7755.71,19701.1,43783.5,15420.4,63656.5,23213.3,151732,162875,42138.7,56812.8,53814.7,31336.6,65331,42895.4,351127,91874.9,92730.2,21948.7,312874,27139.7
151238,275078,139529,302590,356239,420000,212580,1.09371e+006,1.64185e+006,227896,222204,451011,47057.5,41918.9,61765.9,372400,76114.9,180564,23251.2,452444,29253,51245.9,205266,110619,126977,13302.6,234006,156465,249557,78805.5,19708.3,298727,18797.9,44798.4,79755.1,79351.6,110643,105619,68966,149509,13709.3,37616.1,41237.2,11110.7,53158.1,42645.7,55120.1,69662.6,109440,39646.8,24527.1,26045.3,43123.9,27863.8,41386.2,7645.05,14034.5,24240.5,23468.5,22939.6,16386.1,3672.05,3790.84,7571.77,32332.1,18665.3,12805.7,36118.4,18463.7,102789,153751,43888.3,75676.9,23103,63033.1,26302.2,24420.4,291376,42785.8,128116,18809.7,139762,53163.5
149847,327437,224461,226675,177586,265735,245450,935895,390426,254181,87699.3,599711,37142.1,104196,126499,138455,155842,413457,22120.3,167254,31787.2,10357.6,323347,117251,64807.3,56953.3,145163,89651.8,140860,62949.2,26446.6,202300,23106.3,46812.1,99515.2,139101,55550.2,113241,31663.1,211970,24122.4,35684.8,132844,13044.7,59573.5,46040.7,24004.1,32134.4,113092,21260.2,28672.1,41270.2,73192.7,5120.9,61952.3,11944,20860.6,28409.8,6332.56,23882.7,11234.6,7180.62,8927.04,3994.97,16880.7,6350.87,16038.6,50858.2,54692.8,51405.3,81251.5,32543,99242.1,37266.5,35984.1,14154.8,31019.7,162698,16672.3,143688,9956.51,192300,68406.3
104608,242529,287631,246981,110717,326353,1.28928e+006,425831,433672,214507,91456.4,196598,44043.8,104869,109378,53326.9,373968,251988,37348.6,70881.9,22489.2,12267.7,209595,251018,151347,30469.9,57915.5,70146.9,223753,135607,38423,136454,20942.5,43491,337734,106707,70963,95844.5,44728.8,159755,54069.8,28844.7,44479.9,27137.1,50994.3,35367,33629.7,22790.9,105573,15905.2,30585.2,32517.8,109108,5549.99,80688.2,12822.4,23148.5,29092.8,5399.57,28656.3,13553.3,25825.3,7183.08,5827.68,28850.1,21132.8,17453.8,40453.9,38800.2,60786.7,59875.5,48299,95254.1,51779.5,87779.3,11366.9,34880.6,250537,20427.5,143009,43066.6,196919,138433
