rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
79576.7,205337,81901.1,305511,51797.5,518147,147978,329253,216257,88835.4,656434,107665,122479,233182,157274,549798,131275,91665.7,144097,70803.5,460801,276414,65509.7,65782.5,31411.8,41639.5,73482.5,132589,129219,125446,58582.3,25762.7,54982.9,168326,12211.8,191787,38233.8,56019.1,166402,59853.7,82951.1,47030.4,39981,33547.6,31926.5,152757,44804.8,19867,24169.5,135294,8595.69,51573,26396.8,112962,3782.7,16186.3,27127.3,41049.3,21057.1,20157.4,33940.9,18571.9,10777.6,5951.73,54465.7,30509.5,75656.4,27587.2,66674.1,55970.9,46725.8,91935.3,41315,37076
87309.5,197478,144763,112114,27645.9,240042,236492,111823,608913,25537.6,285018,69814,202405,443904,426710,500036,57155.7,68380.9,121273,97296.7,488108,272402,48270.1,61632.3,88396,12111.7,46609.6,148255,192454,169801,243209,43878,34135.8,97428.5,11062.2,162513,99590.1,50537.8,129994,140167,34084.6,60454.4,72875,31112.7,16150.7,129883,47068,23470.1,25644.2,79575.9,9211.18,34273.3,35343.1,64478.4,15733.2,19791.7,23233.5,44426,23501.9,12085.6,26829.7,10502,12251.3,9454.51,150499,52198.1,81287.6,25236.1,123020,43742.8,44810.4,125269,75057.2,45981.5
298206,55976,31217.5,204228,23900,273563,345919,200537,1.18549e+006,151975,201052,69913.5,218205,149534,175410,688017,95413.1,53503.3,161547,270493,65046.4,146546,31621.5,46297,86559.5,23285.6,103630,224116,66261.7,218018,232228,30866.7,21391.4,132926,7034.09,105730,80942.2,242242,81745.5,51223.2,104920,34797.5,51688.2,30553.8,12000.7,48426.7,116939,101328,15860.5,118609,11960.4,36494.5,16056.2,40821,11443,62099.7,21444.2,34337.5,36271.7,8978.35,90438.9,16190.2,5571.18,15776.9,54840.6,102673,41439.4,16604,249422,65445.4,60560,104664,83041.1,37351
459130,89652.2,64256.3,229487,14191,273436,329128,151892,442766,230999,150156,145694,649660,46067.3,43061.5,976203,277789,194513,28931.1,103498,34021,254848,52201.2,21274.1,75009.9,24293.3,293149,158121,113159,140600,25142.4,261290,32503.6,150699,13743.6,90775.1,27120.6,109039,91622.3,106296,33697.2,44120.1,110857,22906.8,49033.5,28315.1,63717,85243.1,9354.42,151287,8171.81,56581.1,21907.8,80299.6,17059.3,14718.5,12411.2,44976.6,45535.7,12178.1,72087.3,19761.4,9293.3,22799.4,45327.1,84720.5,69681.2,24178.6,226335,24839.2,80302.4,103322,209329,56470.9
539657,131726,32870.1,416700,65481.1,269670,354708,97968.8,677400,149528,178619,140878,366821,82215.2,80453.6,673009,188668,377249,25913.7,183561,53712.1,167098,133378,27005.3,46365.2,20282.6,227916,175739,289272,39808.8,71772.7,153710,17740.5,143235,56648.9,88038.1,10015.3,106130,240042,75767.5,25852.3,57337.9,132444,27531.3,62141,21840.4,25128.6,65548.6,14205.8,148868,10484,96984.6,10751.6,70212.6,9538.09,17072,14472.4,49131.9,26912.2,9931.9,35002.6,15295.8,5717.31,19299.3,37073.7,142481,15247.9,27988.1,83297.3,15948.5,62196.2,155865,79333.3,89861.5
451573,158794,53883.3,625427,124050,280399,127239,122251,248811,51472.4,295791,159558,204209,97366.5,53973.1,621800,237775,196795,56136.5,125263,70703.6,262310,82490.5,20566,47164.5,67305.5,235083,154354,184055,34209.6,72028.1,125728,21514.2,69416.7,31515.6,132600,25425.1,57019.2,146370,39393.2,12012.5,37546,86437.7,45816.6,92515.1,40103.8,41971,30648.5,9126.98,139084,14333.8,125506,18191.8,29943.3,12178.4,9222.44,13403.8,28319,31393.8,30605.6,28331.8,14970.8,4778.71,44833.1,91867.2,43314,11515.6,36341,100610,18461.8,62323.4,46451.2,63443.6,149639
486473,264439,127515,297690,143319,495345,65772.3,164477,441362,71578.3,398261,54670.9,68755.1,71173.6,191420,1.12118e+006,202717,107350,183929,25712.4,89433,142176,33102,34334.1,66759.9,217679,218966,144322,151096,48268.2,86021,88315.2,27183,35609.9,79135,150212,19358.3,70022.5,299831,65432.2,23114.6,47194.3,26519.7,43964.1,82091.5,78439.9,47884.4,52586.5,12812.3,129134,23880.3,160731,14741.8,19242.9,11844.2,14328.4,11958.3,64722.8,41772.9,25354,53260.3,10671.2,7000.79,73812.8,57868.8,142531,8315.7,47896.7,45634,30819.6,13988.8,74999.2,83447.6,899552
155340,196675,214511,195709,132512,801524,87801.5,72086.1,386739,164208,617914,35449.5,19366.3,178263,36432.8,1.82854e+006,427163,86734.1,65913.3,20232,24389.8,56657.3,106538,29519.2,62345.8,223554,276966,249126,194203,59075.2,160578,44593.2,21443.9,40324.7,116931,118925,8276.03,91391.8,170842,31603.8,36223.1,58331.8,69943.6,54178.2,34928,60443.4,56673.2,69739.9,8798.79,97675.2,39485.4,66429.1,24937.7,21571.9,4597.57,25201.6,22942.7,71829.8,38328.2,14410.2,52777.5,13885.5,6109.71,112275,43412.1,43454.4,10989.7,47898.7,50065.2,40360.3,10646.4,212620,119788,193082
184943,128142,312882,185531,94140.1,382956,57270.8,112230,526952,119630,1.07724e+006,14373.7,119553,107761,79047.1,1.07298e+006,274677,44003.9,120928,6915,24484.8,141598,42394.9,42060.4,82215.8,554536,579249,131757,181521,44350.4,51257.8,53558.6,30566.7,68132.5,104225,69323.7,13437.8,44826.3,250072,43489,29673,48448.1,95743.4,59645.4,58856,61865.5,54023.7,67265.6,4695.67,45422.5,61245.1,47363.1,21159.5,18359.8,12980.9,58347.3,15360,39150.5,45280.2,31007.9,64859.2,13571.2,4650.46,102658,103715,62797.3,51424.3,35864.9,43704.3,24383.6,35100.8,118268,50378.4,180612
468729,271682,362039,223608,161278,158494,93597.5,201932,547054,170499,636139,8958.74,46490.8,265129,174297,916000,278327,30512.2,23656,12920.4,72055.3,94029.2,96157.9,60813.2,114626,395004,398613,91607.8,107059,55478.4,35872.8,56134,25271.6,108988,82935,100377,9160.02,63378.6,159282,21382.5,31493.9,79102,94485.6,34708.3,32124.4,38495.8,38189,51683.9,8434.62,26161.5,220854,24576,19280,11418.6,18640.7,42158.3,16965,22157.7,46926.4,52869.2,39604.8,12381.8,2549.78,100761,79314,38171.9,86263.5,22558.7,54734.7,18525,46173.8,71003.1,14687.7,61557.7
