ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
342002,0.781253,0.199888,0.199888,82599,148.418,0.26,0.735, 40002.1, 13482.4, 2735.67, 0.35927,0.0974322,6.09162e-005,4069.06,260.586
342002,0.781253,0.199888,0.199888,82599,148.418,0.26,0.735, 40002.1, 13482.4, 2735.67, 0.35927,0.0974322,6.09162e-005,4069.06,260.586
342002,0.781253,0.199888,0.199888,82599,148.418,0.26,0.735, 40002.1, 13482.4, 2735.67, 0.35927,0.0974322,6.09162e-005,4069.06,260.586
405496,0.654935,0.199888,0.199888,82732.4,12966.4,0.26,0.735, 47428.6, 17692.8, 2864.29, 0.266766,0.0599969,5.35159e-005,4006.91,289.492
464323,0.592409,0.199888,0.199888,73612.4,3.84602,0.26,0.735, 54309.3, 21314.6, 3038.1, 0.227239,0.0648048,6.43965e-005,3251.62,307.987
396691,0.607424,0.199888,0.199888,89172.4,56.1138,0.26,0.735, 46398.7, 17986.6, 2646.89, 0.236455,0.0407902,3.84911e-005,5977.27,319.123
413935,0.473339,0.199888,0.199888,96632.6,41.3763,0.26,0.735, 48415.7, 21104.4, 2232.09, 0.158634,0.0348446,3.11239e-005,7433.02,337.249
375538,0.523528,0.199888,0.199888,88797.9,1088.14,0.26,0.735, 43924.7, 18281.4, 2218.56, 0.186736,0.0481892,3.03356e-005,8218.92,340.73
331187,0.663607,0.199888,0.199888,81741.2,42.7878,0.26,0.735, 38737.2, 14350.5, 2362.15, 0.272511,0.063155,4.58578e-005,6411.81,339.432
344688,0.733206,0.199888,0.199888,75649.9,10899.5,0.26,0.735, 40316.2, 14127.3, 2639.73, 0.321577,0.0674084,5.82275e-005,4690.49,336.14
421997,0.825574,0.199888,0.199888,59519.4,565.832,0.26,0.735, 49358.6, 16033.5, 3502.74, 0.397732,0.112624,8.22663e-005,2906.52,333.866
372768,0.759577,0.199888,0.199888,64542.1,2682.04,0.26,0.735, 43600.6, 14956.9, 2925.21, 0.341811,0.072711,5.56955e-005,4539.54,337.359
333842,0.730123,0.199888,0.199888,63994,2944.87,0.26,0.735, 39047.6, 13716.7, 2549.18, 0.319277,0.0775741,5.18055e-005,5209.13,348.163
268080,0.641664,0.199888,0.199888,63431.2,138.623,0.26,0.735, 31355.9, 11822.3, 1865.02, 0.258108,0.087095,5.62888e-005,4383.07,351.339
189781,0.810527,0.199888,0.199888,64439.2,3705.92,0.26,0.735, 22197.6, 7302.51, 1556.07, 0.384217,0.104807,6.79893e-005,2962.39,352.551
178288,0.730291,0.199888,0.199888,66777.6,808.98,0.26,0.735, 20853.4, 7324.42, 1361.61, 0.319402,0.101526,6.42642e-005,3996.01,360.462
182142,0.643948,0.199888,0.199888,66617.3,15.6677,0.26,0.735, 21304.1, 8017.72, 1270.53, 0.259587,0.101935,7.75398e-005,2783.06,360.49
228441,0.530669,0.199888,0.199888,69747.1,100927,0.26,0.735, 26719.5, 11050.8, 1365.42, 0.190818,0.121565,6.18456e-005,4115.61,361.257
222861,0.607427,0.199888,0.199888,77804.8,491845,0.26,0.735, 26066.9, 10104.9, 1487.03, 0.236457,0.0904097,4.44364e-005,5926.18,360.105
323129,0.498165,0.199888,0.199888,69046.2,2.17962,0.26,0.735, 37794.6, 16094.3, 1826.83, 0.172415,0.086822,5.34894e-005,4365.71,360.836
348585,0.473149,0.199888,0.199888,70925.2,94426.2,0.26,0.735, 40772.1, 17775.8, 1878.98, 0.158529,0.0781726,4.91207e-005,5793.47,363.267
326739,0.522908,0.199888,0.199888,71993.9,1.13163,0.26,0.735, 38216.8, 15914.5, 1928.29, 0.186383,0.0742043,4.98523e-005,4808.43,341.095
304459,0.611714,0.199888,0.199888,71042.5,23297.3,0.26,0.735, 35610.9, 13756.4, 2042.57, 0.239118,0.0665885,4.81296e-005,4679.31,341.716
296583,0.576322,0.199888,0.199888,70658.3,1.1562e+006,0.26,0.735, 34689.7, 13797.7, 1898.46, 0.217534,0.0593426,4.26758e-005,5570.69,334.348
