sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
47541.7,44968.8,43477.4,41898.2,39680.5,32068.6,25386.7,21779.2,19193.8,17937.3,16094.8,14200.1,13094.9,12840.7,12062,13375.1,13554.1,11353.5,10243,8550.37,6738.39,5752.89,5654.33,5745.19,5812.17,6010.91,6017.71,5667.62,4719.49,3191.49,2289.56,2429.05,3155.84,4421.56,4861.57,4170.48,3603.46,2987.72,2866.33,2732.5,2450.11,2584.31,2154.35,2135.1,2134.01,2111.03,2224.85,1882.1,1819.67,1868.27,1855.9,1602.03,1406.76,1320.23,1194.34,1012.22,835.31,680.667,669.453,655.362,564.605,495.154,580.093,725.655,846.509,1024.58,1194,1319.12,1398.08,1573.13,1773.74,2017.31,2360.03,2633.94,2906.52,3145.34
41788.5,39510.1,37567.6,35621.8,33764.8,27933.3,23725.3,21948.9,19183.2,15828.6,12368.8,10698.4,10234.8,11737.9,12759,13430.9,11099.6,7837.92,7506.35,7535.27,7266.28,6899.79,6734.95,6636.11,6218.48,6409.72,5446.23,4532.61,3784.9,2739.19,2162.75,2099.43,2768.82,3943.35,4133.17,3630.19,3420.69,3152.4,3119.13,3107.67,2874.92,3200.23,3187.7,2950.71,2895.66,2900.63,2719.51,2334.43,2257.13,2201.98,2595.44,2858.53,2590.01,2301.04,1936.81,1645.48,1359.61,1149.97,1227.71,1294.34,1186.01,1119.88,1221.58,1376.11,1526.15,1734.68,1918.71,2140.9,2328.36,2614.99,2942.54,3208.01,3583.29,3993.27,4539.54,4945.04
37539.9,35217.3,33892,32274.6,30674.4,27709.4,23456.1,20130.8,16722.8,13623.4,11882.6,12856.7,14577.7,20483.9,25347.4,24945.8,19743.3,14075.5,12110.6,9982.71,7373.97,6695.9,7168.74,7318.69,7458.59,6830.32,5157.31,4064.89,2483.15,1385.18,1060.25,1605.8,2554.81,4034.4,5127.76,5561.44,5541.02,4990.1,4516.12,4192.04,3835.23,3619.54,3010.69,2533.5,2163.99,2028.8,2017.62,1786.8,1843.32,2008.4,2152.04,2384.77,2511.94,2417.22,2030.64,1633.46,1370.48,1217.85,1171.3,1119.86,1064.01,1037.7,1108.2,1345.25,1578.91,2032.38,2610.65,2872.94,2993.34,3093.51,3301.76,3637.78,3870.43,4385.85,5209.13,5704.55
29513.1,26463.2,25026.9,23528.6,21797,18489.3,14971.9,13549.4,12469.4,11166.9,9572.09,9150.99,9831.33,10234.5,10682.1,11338,9021.56,7130.16,7283.19,6461.24,7004.6,9047.85,10643.5,10265.8,9591.86,8734.93,7460.52,6152.44,2968.49,1766.69,1503.5,1942.36,2696.83,3794.23,4777.03,4893.99,4860.6,4976.03,4836.64,4595.36,4338.83,3826.47,2961.55,2471.95,2256.92,2133.53,1837.72,1623.56,1604.46,1643.45,1725.13,1794.2,1870.79,1759.78,1345.57,1046.82,1077.12,1100.23,1119.07,1140.03,1066.38,977.34,1032.67,1266.9,1573.81,1912.56,2347.37,2685.96,2788.33,2882.13,3009.44,3207.67,3401.77,3784.32,4383.07,4938.87
21198.8,18929.9,17553.4,15995.9,14018.8,11580.3,9832.44,8938.58,6905.88,6175.94,5929.47,6358.42,7402.08,9331.63,10319.4,9880.05,8382.7,5971.34,4189.18,3468.58,4500.43,6538.99,8091.42,8139.33,7502.43,6542.52,5666.23,5291.52,1821.78,1146.43,1529.02,2412.73,3504.91,5135.81,5590.62,4935.68,5016.39,4771.8,3932.8,3520.17,3099.03,2563.83,1853.56,1517.69,1608.47,1776.33,1840.16,1979.68,2015.21,1963.12,1940.12,1550.35,1334.83,1143.52,943.333,881.541,976.316,1034.14,1049.19,1049.58,994.775,948.826,1012.15,1284.46,1600.2,1801.26,2041.15,2237.48,2282.18,2290.2,2311.17,2342.89,2462.76,2662.72,2962.39,3363.1
18917.2,15749.9,14279.6,13258.9,11447.8,8567.99,6975.32,6872.46,6353.57,6391.08,6567.69,5719.47,5627.06,6612.05,7526.51,8396.4,8356.33,6950.12,4990.14,3188.82,4019.19,5229.36,5619.55,6021.44,6586.22,6857,6977.63,7264.47,5060.35,3188.59,2405.27,2643.5,3040.04,3525.14,4137.52,4210.17,4803.93,5317.11,4996.22,4571.04,3568.23,2793.79,2189.44,1957.14,2126.68,2143.03,2080.34,2179.54,2191.98,2180.35,1806.45,1162.26,1054.39,1072.71,1130.88,1028.54,995.935,936.929,908.931,882.364,818.046,818.262,876.759,1121.82,1428.98,1596.11,1827.81,2074.4,2259.67,2494.93,2667.97,2782.23,3056.41,3445.31,3996.01,4589.15
18508.7,14926.1,13625,10032.9,7656.11,7167.29,7195.07,7558.31,5149.27,4955.6,6020.89,5901.31,5718.11,6925.92,8146.39,8474.29,7933.44,5385.42,3676.99,4145.93,6063.63,6740.72,6017.46,6302.95,6335.4,6044.7,5839.66,6051.07,4393.24,2959.61,2358.06,2435.18,2965.43,3655.88,4213.52,4219.46,4247.42,4038.73,3591.94,3354.81,2824.03,2441.58,2158.94,2331.66,2841.47,2853.21,2660.3,2477.01,2358.7,2359.85,2006.01,1405.1,1156.06,998.752,798.587,808.899,868.702,792.88,810.167,812.835,805.086,814.195,834.38,1023.13,1237.71,1360.2,1530.16,1690.74,1791.05,1873.02,1964.98,2035.48,2223.87,2447.6,2783.06,3419.47
23724.3,20472.8,19261.5,16567.6,14124.4,12530.8,11313.9,10897,6572.56,4509.55,5473.79,5628.49,5154.87,6329.88,7581.02,8192.32,7323.46,4349.1,3259.85,4127.84,6576.55,8746.72,9208.27,9309.37,8443.96,7945.11,6661.63,7485.08,7040.03,4646.57,3576.61,3247.96,3728.58,4341.98,4902.16,5128.38,5058.34,4555.97,3778.01,3313.8,2562.04,1969.25,1722.85,2005.92,2088.35,1840.94,1816.57,1819.69,1878.65,2006.22,1816.98,1290.79,1087.36,928.511,839.021,839.757,757.931,608.648,632.53,660.774,726.397,806.211,915.146,1184.31,1425.42,1614.19,1869.22,2096.63,2398.3,2742.19,2936.1,3042.32,3287.49,3574.95,4115.61,4747.7
22969.6,19865.9,18741.5,15390.9,11636,10645.3,10290.5,9728.62,7899.91,6113.06,6361.74,7348.83,7638.39,8627.05,9851.07,11476.2,8814.45,5023.82,2393.31,3150.21,4756.39,6194.67,6870.74,7166.26,7206.32,7068.55,6070.16,5980.61,5141.19,4250.28,4604.13,5034.99,5491.83,5827.53,5946.48,5563.36,5089.45,4068.98,3349.47,3305.4,2726.06,2328.58,2160.8,2831.31,3354.14,2953.69,2802.69,2814.51,2910.52,3176.87,2848.97,1952.15,1504.52,1163.27,913.51,1059.09,1091.94,853.295,804.799,787.095,880.805,1087.49,1311.35,1816.99,2309.83,2599.09,2919.86,3131.98,3669.07,4475.07,5060.2,5503.86,5711.64,5742.05,5926.18,6180.91
35655.2,33388.2,32200.7,25412.7,20015.5,19614.1,19217.3,17246.6,12761.2,10239.6,9234.57,7558.39,6754.25,7184.53,7711.33,7632.75,5669.67,3859.32,3746.73,4644.21,6003.92,6903.33,6410.56,5789.56,5387.78,5765.34,5329.86,5030.78,3867.72,3399.23,4542.31,5089.13,4831.76,4866.33,4945.2,4769.66,4122.62,3097.77,2998.97,3322.23,2958.97,2895.89,2887.96,3340.8,3573.48,3054.83,2983.03,3038.92,2913.55,2766.74,2044.78,1536.98,1471.93,1207.61,1014.02,996.845,961.016,820.392,898.066,952.648,952.178,1013.28,1175.35,1397.14,1688.13,2071.23,2405.47,2571.55,2833.63,3281.49,3575.63,3785.08,3919.58,4046.27,4365.71,4620.8
38935.1,37041.3,36212.8,32246.2,28158,26800.8,25376.9,23151.3,18470.2,15226.1,13570.5,11523.1,10690.3,12382.5,14058.9,13741.4,11557.4,8292.2,3982.77,4978.21,7538.12,9190.51,8481.81,7333.13,6508.9,6814.5,5930.78,7195.34,7555.38,5578.09,4830.75,4298.33,4381.91,4746.08,5229.84,5016.64,4079.21,3014.72,3201.8,4026.2,3973.84,3702.79,3415.41,3432.7,3272.11,2850.49,2971.5,3118.31,3069.52,2929.15,2204.49,1737.18,1612,1345.82,1234.46,1222.94,1146.96,1024.72,949.288,928.582,899.545,934.736,1113.49,1375.95,1776.68,2303.91,2702.52,2884.2,3174.24,3667.32,3988.5,4324.84,4580.63,5073.96,5793.47,6067.73
35754.9,33209.4,32284.2,28631.9,25551.4,24601.6,23083.4,22083.9,16646.5,12867.3,11040.3,8525.09,7375.38,7124.68,6912.79,6781.53,4103.96,2386.48,2866.45,3982.11,6802.33,8790.81,7366.2,5572.58,4584.83,4723.31,4312.22,5834.27,5950.69,4102,4175.83,4691.87,4671.81,4535.89,4282.9,4129.76,3526.75,2245.42,2165.41,2571.44,2491.79,2626.3,2753.03,2692.91,2641.25,2672.23,2889.41,3290.48,3675.72,3654.27,2816.87,2189.93,1842.09,1532.72,1443.17,1551.02,1537.89,1358.11,1331.72,1319.93,1224.51,1248.63,1379.8,1599.18,1942,2227.14,2425.75,2636.44,2851.97,3242.97,3578.05,3819.39,4066.25,4337.05,4808.43,5108.17
33445.3,31034.3,29947.3,27779.7,26015,24763.8,22622.9,19882.7,13922.8,9774.09,8359.95,6873.01,6505.19,6107.27,5321.47,5529.8,4532.48,3236.98,2955.13,3405.68,5893.87,7479.04,5773.34,4596.47,3805.04,3284.87,2320.31,2275.38,2429.78,2283.07,2952.55,3635.16,3677.96,4261.4,4957.42,4463.54,3582.33,2417.42,2492.07,3110.78,3198.3,3330.08,3339.15,3348.43,3339.89,3088.53,3058.86,3259.06,3526.99,3580.72,2926.86,2303.48,2178.16,1989.69,1736.81,1750.78,1603.4,1360.27,1281.35,1244.81,1223.33,1284.68,1452.71,1838.79,2323.98,2713.67,3018.59,3240.21,3501.39,3733.29,3800.99,3936.22,4117.77,4327.73,4679.31,4932.99
32874.8,30517.2,29097.2,27035.1,25033.3,23054.2,20251.2,16559.4,11114.4,7686.43,6949.02,5875.72,6326.11,7285.58,6541.83,6129.82,4963.1,3430.07,2008.21,2325.19,4257.32,5732.82,5022.05,4459.53,4118.5,3958.39,3210.99,4080.3,4037.37,3024.17,2768.01,2751.48,2400.29,2674.84,3210.49,2910.35,2632.59,2426.12,3263.66,4121.35,4251.73,4178.43,3708.78,3616.16,3475.09,3069.21,2947.3,2986.45,3138.42,3219.18,2833.03,2375.96,2286.79,2298.57,2049.09,2014.83,1990.69,1738.92,1592.49,1533.46,1455.23,1534.17,1771.52,2064.21,2493.04,2975.98,3359.07,3593.23,3826.7,4067.85,4161.52,4399.09,4696.51,5041.92,5570.69,5916.53
34827.2,32916.9,31340.9,29721.9,28108.7,25967.4,23351.8,19777.1,15768.9,12143.7,9371.77,6822.98,6221.22,6671.68,6158.64,7137.34,6497.67,3624.06,1836.11,2090.37,3702.43,4859.12,3755.53,3205.5,2763.6,2470.06,2507.19,3183.25,4558.68,4655.02,4254.27,4167.66,3104.84,2839.4,2774.35,1810.38,1473.55,1562.66,2253.67,2543.43,2947.24,3530.81,2590.36,2226.68,2244.67,1988.87,2016.77,2116.03,2647.95,2977.98,2560.25,2068.51,1881.59,1889.26,1879.83,1865.79,1801.84,1556.6,1348.7,1259.81,1232.95,1318.96,1539.36,1833.44,2123,2416.63,2790.56,3092.94,3375.45,3729.24,3944.87,4306.99,4751.74,5369.86,6220.48,6657.44
32621,30745.8,29005.7,27798.4,25808.2,23605.6,21885.6,18232.1,14144.2,11532.1,9639.82,7157.71,5740.33,5151.92,4391.48,4356.15,3232.88,1930.11,1942.05,2579.75,4403,5847.02,5255.74,4781.83,3765.98,3560.83,3470.09,3420.71,4325.99,4387.64,3833.29,3773.15,2596.52,3050.36,3580.39,2511.58,1904.54,1913.22,2715.51,3092.39,3241.09,3340.12,2950.29,2658.53,2048.98,2032.25,2382.11,2726.43,3200.75,3102.84,2671.92,2215.81,2005.26,1988.32,2081.83,2136.44,1967.54,1787.4,1730.05,1637.83,1635.12,1732.16,1897.28,2211.15,2718.12,3214.78,3719.45,4245.62,4510.99,5091.97,5631.22,6243.93,6978.55,7432.95,8326.59,8978.03
31673.9,29132.8,27631.3,26678.6,24878.8,23237.1,22117.8,18677.5,15397.2,13260,11337.2,9132.97,7553.06,7325.84,6561.03,7740.62,5859.93,2781.51,2966.19,4055.05,6837.46,9371.32,8889.75,7452.04,5300.93,3571.01,2921.38,3240.09,4650.98,4487.6,3448.89,2951.34,1808.44,2346.96,2313.2,1869.45,2047.85,2253.61,3009.25,3577.71,3644.29,3406.16,3066.75,3029.91,2860.25,2960.6,3217.8,3424.86,3761.68,3806.84,3497.81,2894.83,2538.3,2567.79,2615.26,2766.36,2643.02,2333.46,2233.33,2154.73,2152.11,2281.25,2509.02,2988.76,3659.13,4215.29,5061.33,5852.57,6184.01,6825.22,7275.6,8152.13,9337.66,10029.5,11513.1,12819.5
32675.8,29622.8,27406.7,25836.8,23620.3,20760,19185.9,16133.6,13989.1,13582.2,12658.6,9930.26,7866.18,7575.9,7014.08,8053.01,6552.1,3278.77,1702.57,2189.51,3862.52,5375.13,4710.02,3881,3282.01,3091.4,3370.73,3554.16,3971.13,3829.12,3268.56,2741.7,2094.07,2312.5,2341.53,1903.75,1865.29,2026.91,2614.33,2715.73,2873.29,2669.36,2169.52,2261.7,1993.09,1857.62,1979.07,2524.73,3233.93,3371.19,3095.37,2268.89,1780.12,1783.57,1989.26,1985.2,1656.92,1389.84,1318.94,1313.86,1359.85,1400.86,1413.69,1614.31,1917.78,2236.5,2772.32,3300.67,3588.62,3900.39,4083.4,4214.34,4482.12,4773.11,5611.33,6468.1
