rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011
78266.5,313902,245230,43019.1,44256.2,530763,296527,122715,73659.8,215624,419099,762921,31197.6,254417,237882,143461,157763,186966,151429,109714,199781,178856,105159,250397,208894,289928,52509.1,54491.6,151763,75050,301652,146838,87932.2,51086.8,52502.8,168876,103421,19595.5,67423.7,18136.5,78286.1,34151.1,92279.2,17518.2,137531,25027.8,54955.3,25270.4,56243.7,39192.2,74258.6,19168.3,54694.9,8575.06,39375.7,30939.8,12110.7,44444.6,5742.39,28174.1,9516.08,13441.3,13066.9,24688,19079.1,17188.2,19987.5,19464.5,161545,18319.8,8232.87,18058.6,90887.9,30514.2,105002,103717,75604.4,207824,71393.6,204330,316763,30968.3,285827
81515.7,186590,158379,90976.2,64425.8,954252,194610,194819,54369.4,212706,106712,1.08586e+006,23510.6,234324,94158.1,459926,224890,233295,163315,108549,113268,200953,48442.9,159344,264407,340065,71322.6,74100.9,133487,54668.4,169847,114302,92457.6,82203.2,72233,337931,134006,20232.8,43807.4,34086.6,177606,39731.6,36584.5,5686.96,66452.7,15770.9,90653,49330.3,77150.4,43682.6,83813.8,18058,47276.1,9770.89,40775.1,36905.3,10502.6,42634.9,16752.1,10030.1,21201,24260.9,7146.13,43942.2,16390.7,11339.2,29750.8,63008,133910,31958.5,26718.4,34544.5,71228.1,37086.7,72196.5,126381,90584.9,201582,129006,371826,93804.8,38857.3,232595
54670.7,353960,182577,74517.6,55944.6,918834,111381,173334,107406,236792,100555,932077,39450.6,490297,131869,240019,198854,203454,111686,118114,232261,143229,150116,147073,293391,247089,131317,89422.8,126547,70781.1,468134,88295.3,63294.9,85344.8,103562,111453,151646,29708.5,57656.1,97942.3,115137,31716.7,30683.6,2309.11,107193,25720.8,98685.5,65822.4,83564.9,66043.2,78744.3,30865.9,62973.2,10311.4,66837.3,29855.3,16968.9,44302.6,9777.63,11609.6,17329.2,18625.2,5369.11,64045.1,25424,16697.6,36138.1,94425.6,44332.2,30324.7,39865.2,65792.7,85680.7,26597.5,106607,218120,89628.4,164692,134634,547340,74759.3,41119.7,81336.2
74440,263162,206487,71240.3,54131.9,617238,80786.5,267915,175646,98281.7,274094,1.16549e+006,41756.4,420926,110174,89689.8,237214,267734,135468,67532.6,297048,75172.6,146264,106473,422007,221708,96739.8,49332.9,96359.7,64882.3,222987,83527.7,151746,72583.7,207871,92439.9,185337,37533.3,49739.1,47213.3,127685,60405.6,34339,3388.43,73310.4,38584.7,44950.3,98397.7,49662.1,80401.3,65457.7,39141,50860.3,11141.5,77941.7,34438.3,8842.9,25765.1,9577.84,16311.9,13434.6,16625.5,2719.82,52560.7,41772.2,26026.9,35091.4,56145.9,36142.9,22031.4,33596.7,62815.6,85414.1,33964.2,100675,96395.3,112296,142068,98030.4,340257,112143,72533.1,112909
68523.4,206779,113831,54600.2,126815,830508,87483.5,186521,130859,140460,338479,1.82334e+006,132428,126339,53907.3,39543.5,416447,185130,191540,112544,159363,53788.5,102761,120510,670770,105079,65435.3,60904.6,42493.6,71110.5,406422,69548.2,75657.6,76376.5,269379,97555.4,113171,55202,45340.2,25762.6,113393,96249.1,56202.7,2770.56,63469.1,32266.3,43349.9,53326.2,79192.4,107208,22362.2,51818.1,23783.8,6269.71,61275.1,25644.3,13809.4,4912.11,10530.5,28364.8,6132.35,5530.58,2627.53,19492.3,20064.4,16865,14166.2,59522.3,39834.1,14808.3,17678.2,64382,73147.6,29676.3,46312,56688.6,77116.9,135830,91676.3,190474,61303.8,80439.3,78984.8
91498.3,395517,98826.8,79849.1,26917.7,478586,188366,364644,182788,104684,174332,1.21353e+006,95093.8,73603,95338,59474.2,438192,463673,129607,87860.2,51132.8,39292.4,201125,107730,561850,93117.1,165995,46658.7,51186.9,70198.2,340599,134808,68933.7,35395.4,112657,187000,101302,149185,37131.3,15239.7,114054,72675.7,44335,7453.09,110745,15301.7,32900.9,54015.9,96039.6,52496.4,38187.8,30101.3,40962.6,7781.01,25948.1,23442.3,39758.8,7195.74,23507.6,36759.3,4274.22,7928.67,2611.58,56666.5,25218.4,13471.6,7767.26,77825.3,43521.2,22525.1,43610.1,58520,99742.3,28970.5,33844.2,118839,41930.6,106769,121628,422687,144460,175814,65270.1
53227.8,396710,73846,137065,21937.5,572335,173335,376129,448107,58957.1,160597,1.61521e+006,124817,65702.3,110012,62005.9,497999,296324,120720,97691.8,78419.8,35536.9,131975,36445.4,589569,107754,208026,55628.3,35599.9,60145,271893,114344,93238.1,12914,139039,131357,47039.7,154764,66124.7,19956.6,118900,61311.4,46769.2,4873.8,92818.3,8646.18,69648.2,65560.8,55639.8,62792.7,63007.1,20649.3,43025.1,3111.89,40994.6,19324.7,49507.5,12904.1,9245.43,24961.1,6422.75,10815.4,4220.66,34137.8,16573,21514.6,7004.69,40934,19324.7,35946.2,22874.5,45470.2,171199,71362.4,22722.3,101943,72652.5,136468,97552.5,445107,309982,141092,123329
36970.8,413424,85672.1,96531.9,16141.2,542699,372070,563689,229361,55093.2,186292,1.17838e+006,75987.7,41267.2,58937.7,82286.9,320547,246955,105678,197170,67153.6,38676.9,75562.3,73539.4,409156,96469,45865.9,33003,31752.3,83847.9,406872,156869,72053.8,9192.82,75773.5,111660,67244.8,160442,65220.2,22987.9,98524.3,35479.4,32032.2,7295.04,127076,12941.1,50091.8,36284.4,122828,93855.4,42529.9,14152.5,29890.6,5510.43,25424.5,16270,34858.7,9278.27,13120.3,12790.9,3684.3,5032.78,4900.33,19137.6,22725,7301.25,6871.59,16235.2,18577,47580.6,16062.3,34228.7,125107,29607.9,13808.1,91093.7,71667.7,65433.7,91850.2,217158,241641,42583.2,132860
49438.7,253968,34465.6,125236,20708.7,713069,266504,342696,260751,64388,276964,645180,155246,80980.1,30004.5,98032.9,431557,249628,156655,123268,38257.8,39019.4,69971.8,64648.8,440426,80925.4,33131.7,37393.2,22403.7,54248.4,394663,84572.3,153596,7051.27,49793.8,117007,88876.6,186164,56881.3,11112.6,164964,44198.8,27748.6,3961.29,76186.3,25694.9,59973.5,52759.6,80383.1,54731,81524.7,17357.2,23678.2,8192.5,23632.3,10391.5,43940.2,9679.71,9244.09,25714.8,9270.99,4266.74,12000.9,13865.9,66647.6,13284.4,7227.11,18630.6,47197.1,105724,21521,73495.4,127478,61951.2,17523.9,143924,48415.3,94219.8,62702.7,161425,522951,72342.4,90209.7
72483.7,229693,43368.2,98132.8,20466.7,805192,168690,177342,342605,228662,68424.4,1.1038e+006,179040,53705.1,50091.2,58844,445906,400008,56974.7,110573,35249.6,53409.4,58003.8,104507,401784,282747,28301,23876.8,15301.4,139733,333918,116397,129845,7495.29,75217.8,132774,139034,128205,42267.9,13109.6,184349,51750.9,16512.3,13099.7,89858.8,25359.1,42939.4,70317.8,46662.4,42811.2,46705.2,35057.9,35815.7,10056.4,34179.1,22620.6,36069.1,14840.4,21176.1,23891.5,43962.6,5435.06,25129.5,31577.7,134239,11657.6,5531.44,39506.2,83668.1,69731.4,27790.6,214211,123370,63427.1,28933.6,250798,144029,111064,74840,155288,585814,69709.2,127673
